,ID,Company,Prod_Quality,Service_Quality,Price_Value,Satisfaction,Repurchase,Recommend,Recommend_Site,Satisfaction_With,Variety_Prods,Variety_Prods_Needs,Ease_Navigation,Ease_Prods_Needs,Availability_Prods,Discounts,Info_Prods,Ease_Comparing,Ease_Special_Needs,Ease_Cart,Ease_Check_Out,Security,Delivery,Delivery_Range,Order_Tracking,Delivery_Time,Fidelity_Prods,Feedback,Return_Policies,Channel_Pref,Pay_Pref,Pay_Pref_Other,Read_Reviews,Interacted_Seller,Satisfaction_Reviews,Satisfaction_Channels_Seller,No_Purchases_6m,Amount_Spent_3m,Shop_Behavior,Age,Race,Employment,Income_Personal,Income_House,Ed,No_Children,Marital,Gender,House_Type,Date_Interview
0,5,ZALORA,9,7,6,7,6,5,0,8,6,7,6,7,8,8,6,6,6,7,7,8,7,6,6,9,8,7,9,1,5, ,2,2, , ,1,90,2,30,1,1,2,4,8,1,2,1,2,1/29/2018
1,11,FAVE,7,8,8,7,7,6,0,8,8,7,7,6,8,9,7,8,97,8,8,7,7,97,97,7,8,8,6,1,1, ,1,2,7, ,6,80,3,29,1,1,2,4,7,99,1,1,2,1/29/2018
2,15,FAVE,6,7,7,6,6,6,0,7,8,7,6,8,7,8,6,6,6,8,7,7,8,6,97,7,7,7,8,1,1, ,1,1,6,7,4,35,1,42,1,1,4,5,8,2,2,2,3,02/01/2018
3,19,AMAZON,8,8,7,8,8,6,0,8,9,8,6,6,7,8,7,9,6,7,8,8,7,6,6,7,7,6,7,3,1, ,1,2,8, ,1,195,1,30,1,1,3,5,8,2,2,2,3,02/01/2018
4,20,QOO10,7,6,8,8,6,5,0,7,8,9,8,8,7,6,7,6,6,8,8,7,8,6,6,7,8,6,6,2,1, ,1,1,7,7,4,100,3,43,1,1,4,5,8,2,2,1,3,02/01/2018
5,21,AMAZON,7,8,7,8,8,6,0,8,9,9,7,8,9,6,8,9,6,8,9,7,8,6,8,6,8,6,6,2,1, ,1,1,7,7,6,150,3,42,5,1,4,5,9,3,2,1,3,02/01/2018
6,25,ASOS,6,7,7,7,8,6,0,7,9,9,7,9,8,6,8,8,9,7,8,7,7,6,8,7,8,8,9,2,1, ,1,1,8,6,2,270,1,39,1,1,4,6,8,3,2,2,4,02/07/2018
7,29,CAROUSELL,8,8,7,6,7,5,0,7,7,6,6,6,7,7,6,6,6,8,7,7,6,7,97,7,7,8,6,1,5, ,1,1,6,7,2,210,1,19,3,5, ,6,4,99,1,2,4,02/07/2018
8,33,TAOBAO/TMALL,7,7,6,7,7,6,0,7,9,8,7,6,8,7,6,6,6,7,6,6,7,8,7,7,6,7,7,1,1, ,1,1,6,7,2,160,1,27,1,1,4,6,9,3,2,2,4,2/13/2018
9,41,FAVE,8,6,8,8,6,6,0,7,8,9,8,7,8,7,6,8,97,8,7,7,8,97,97,8,7,8,6,1,1, ,2,2, , ,5,30,3,31,1,1,3,6,8,3,2,1,4,2/13/2018
10,43,EBAY,7,7,7,7,7,6,0,7,7,6,8,7,7,6,6,6,6,7,8,9,6,6,7,6,8,7,6,3,1, ,1,1,7,8,6,260,1,35,3,1,4,6,9,3,2,1,4,02/05/2018
11,46,FAVE,8,7,7,8,6,5,0,8,7,8,6,6,8,9,7,7,7,8,8,7,97,97,97,7,6,8,97,1,1, ,1,1,7,9,8,60,3,37,1,1,4,6,8,3,2,2,4,02/05/2018
12,51,TAOBAO/TMALL,7,8,8,7,6,8,0,7,7,8,6,6,7,6,7,6,6,8,7,9,6,7,6,6,6,8,6,1,1, ,1,2,7, ,1,130,1,40,1,1,3,5,6,1,2,2,4,02/05/2018
13,55,AMAZON,8,8,7,7,7,6,0,8,7,7,8,6,7,6,6,8,7,8,8,9,8,6,7,8,7,6,6,3,1, ,1,2,8, ,3,210,3,30,1,1,5,5,8,99,1,1,2,02/06/2018
14,59,CAROUSELL,7,6,7,7,6,6,0,7,8,8,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,1,5, ,2,1, ,7,2,160,1,40,2,1,5,6,8,99,1,2,2,02/06/2018
15,63,EBAY,7,8,7,6,6,6,0,7,6,8,6,7,7,6,8,8,8,7,7,8,7,6,6,7,6,6,6,3,1, ,1,1,7,8,1,69,1,39,5,1,3,5,7,99,1,2,2,1/31/2018
16,64,EZBUY,7,8,6,6,6,5,0,6,7,7,8,7,8,8,7,6,6,6,8,7,6,8,6,6,6,7,6,1,6,Debit Card,1,2,6, ,4,70,3,26,1,1,3,5,7,3,2,2,2,1/31/2018
17,68,CAROUSELL,6,6,8,6,7,6,0,6,7,8,6,6,7,7,8,6,7,7,8,7,6,6,6,7,8,7,7,1,5, ,2,1, ,7,2,140,1,48,1,1,3,5,7,1,2,1,3,1/30/2018
18,71,ZALORA,7,8,7,8,7,6,0,8,7,9,7,7,6,8,7,6,6,8,8,8,7,97,7,9,9,7,8,1,1, ,2,2, , ,2,105,1,31,2,1,3,5,8,2,2,1,3,1/30/2018
19,72,ZALORA,7,9,8,9,8,7,1,8,9,9,9,8,8,7,7,7,10,9,8,7,8,7,8,9,7,7,9,1,1, ,2,1, ,8,4,150,3,28,1,1,3,5,8,3,2,2,3,1/30/2018
20,75,FAVE,9,7,9,7,7,6,0,8,7,7,9,7,6,9,6,7,6,8,8,7,7,6,6,7,7,8,7,1,1, ,1,2,8, ,2,65,1,27,2,1,3,5,8,3,2,2,3,1/30/2018
21,77,AMAZON,8,7,9,9,7,7,0,9,9,8,10,8,9,10,10,9,9,8,9,8,10,10,9,9,8,8,10,2,1, ,1,2,7, ,2,180,1,28,1,1,4,6,7,1,2,2,3,1/30/2018
22,84,ALIEXPRESS,6,7,7,7,7,5,0,7,7,9,7,7,8,6,6,7,8,8,9,7,6,8,8,6,7,7,6,1,1, ,1,2,6, ,1,190,1,45,1,1,4,6,8,3,2,1,3,2/22/2018
23,87,QOO10,7,7,7,7,7,6,0,8,9,7,8,6,6,6,7,6,8,9,8,7,7,6,6,7,9,8,7,1,1, ,1,1,7,8,6,30,3,38,1,1,2,4,7,1,2,1,3,2/22/2018
24,89,QOO10,6,8,8,7,8,7,1,8,8,8,7,6,6,6,7,6,6,8,6,7,7,6,6,8,7,6,6,1,6,7-11 Store,1,1,8,10,4,60,3,29,1,1,2,4,7,2,2,2,4,02/07/2018
25,91,LAZADA,8,9,7,8,9,8,1,8,7,7,6,7,8,6,6,6,7,8,8,7,8,8,9,9,8,7,8,1,1, ,1,2,8, ,1,153,1,31,2,1,2,4,7,1,2,1,4,02/07/2018
26,95,QOO10,8,8,8,8,6,6,0,8,7,7,8,7,7,8,8,8,8,8,8,7,8,8,8,7,7,8,8,1,1, ,1,1,7,10,2,90,1,33,3,1,4,4,7,1,2,1,4,02/07/2018
27,96,FAVE,8,9,8,8,8,8,1,7,8,9,7,7,8,7,6,6,7,8,8,7,97,9,97,6,7,8,6,1,1, ,1,1,8,9,4,58,1,33,1,1,3,5,7,2,2,2,2,1/30/2018
28,99,TAOBAO/TMALL,8,7,9,7,6,7,1,8,8,8,8,7,9,7,9,8,9,8,8,9,8,8,9,9,8,7,97,1,1, ,1,2,7, ,2,120,1,50,1,1,4,6,8,2,2,2,2,1/30/2018
29,109,TAOBAO/TMALL,8,7,8,7,8,7,1,8,7,7,8,7,6,8,6,6,6,8,8,7,6,6,6,6,7,6,3,1,3, ,1,1,8,6,1,160,1,21,1,5, ,5,5,99,1,1,3,02/12/2018
30,112,CAROUSELL,8,7,8,7,7,5,0,7,9,8,7,6,6,6,6,6,7,7,8,6,7,7,97,6,7,7,6,1,5, ,1,1,8,8,4,150,3,41,1,3, ,7,7,1,2,2,4,02/08/2018
31,113,EBAY,7,6,8,8,6,6,0,8,7,7,9,8,7,7,8,8,7,8,7,8,7,8,8,8,7,8,8,2,2, ,1,2,7, ,4,100,3,34,1,1,4,6,8,3,2,1,4,02/08/2018
32,118,TAOBAO/TMALL,7,6,7,6,8,8,0,6,7,7,8,7,7,6,6,6,6,8,8,7,6,6,6,7,8,6,6,1,1, ,1,2,7, ,2,140,1,40,1,1,3,5,6,1,2,2,4,02/08/2018
33,121,FAVE,8,9,9,7,8,8,1,7,8,9,8,6,7,9,7,6,6,8,8,7,6,97,97,7,7,7,7,1,1, ,1,1,9,8,9,90,3,57,3,3, ,5,2,1,2,2,4,02/06/2018
34,124,LAZADA,8,7,6,8,8,7,0,8,7,7,6,6,8,7,7,6,6,6,8,9,6,6,8,8,7,7,6,1,6,Alipay,1,2,7, ,2,180,1,42,1,3, ,5,7,3,2,2,4,02/06/2018
35,126,EBAY,9,8,6,7,6,6,0,8,7,6,8,7,6,6,8,8,7,6,6,8,8,6,7,7,6,8,7,3,2, ,1,1,7,7,2,95,1,32,1,1,2,5,5,1,2,1,4,02/06/2018
36,133,FAVE,7,6,6,7,7,7,1,7,7,7,8,7,6,6,6,6,7,8,8,7,7,8,97,7,6,6,6,1,1, ,1,2,6, ,8,80,3,40,1,1,4,5,8,1,2,1,4,02/12/2018
37,134,EBAY,6,7,6,7,8,6,0,8,8,7,6,8,7,8,6,6,7,7,8,7,6,8,7,8,6,7,7,3,2, ,1,1,7,7,2,160,1,47,1,3, ,5,8,2,2,2,4,02/12/2018
38,140,QOO10,7,6,7,8,7,6,0,8,7,8,8,8,7,7,7,8,7,8,7,8,7,8,7,7,7,7,8,1,1, ,1,1,8,9,2,30,2,38,1,1,3,5,7,3,2,1,3,1/29/2018
39,146,TAOBAO/TMALL,7,6,6,7,6,5,0,8,8,7,6,8,8,6,6,7,8,7,6,8,7,6,6,7,7,8,6,1,1, ,1,2,9, ,2,130,1,38,1,1,4,7,8,3,2,1,3,1/29/2018
40,147,ASOS,7,6,7,7,7,6,0,8,8,7,7,8,7,9,7,6,6,8,7,7,8,8,8,7,6,6,9,2,2, ,1,1,8,7,3,110,1,31,1,1,3,6,8,99,1,2,3,1/29/2018
41,150,ZALORA,8,8,8,9,8,7,1,8,8,8,9,9,10,10,10,10,10,8,9,9,9,10,8,10,9,9,8,1,2, ,2,2, , ,1,174,1,29,1,1,4,6,8,3,2,1,2,02/01/2018
42,151,EBAY,8,8,8,7,7,6,0,8,8,7,8,6,7,8,6,7,7,8,6,7,8,6,7,7,8,8,7,3,2, ,1,2,8, ,2,120,1,33,1,1,4,6,8,1,2,1,2,02/01/2018
43,154,ASOS,8,7,7,7,8,8,1,8,9,9,7,9,7,8,6,6,6,7,7,6,6,6,7,6,9,7,6,2,1, ,1,2,7, ,2,240,2,27,1,1,4,6,9,4,2,1,2,02/01/2018
44,160,TAOBAO/TMALL,8,6,8,8,7,7,1,8,9,8,6,6,7,6,6,6,6,7,6,8,7,8,6,7,7,8,8,2,1, ,1,1,7,7,3,120,3,39,1,1,2,4,7,1,2,2,3,02/05/2018
45,162,EBAY,8,8,8,9,7,8,0,9,9,8,10,9,8,8,10,9,8,10,9,10,10,9,8,10,8,8,10,2,2, ,1,1,8,8,1,110,1,39,2,1,4,4,8,99,1,2,3,02/05/2018
46,169,EZBUY,7,6,8,7,8,6,0,7,8,7,6,7,8,8,6,6,6,8,8,7,9,8,8,6,8,7,6,1,6,Debit Card,1,2,7, ,2,280,1,42,1,3, ,5,8,3,2,2,3,2/19/2018
47,175,AMAZON,7,6,7,8,7,6,0,8,8,8,9,8,6,7,8,8,7,8,8,6,6,7,7,6,8,7,7,3,1, ,1,2,7, ,1,140,1,30,1,1,3,5,8,99,1,2,4,02/07/2018
48,184,FAVE,7,6,8,7,6,5,0,7,9,8,7,8,8,9,8,8,97,8,9,7,7,97,7,7,7,7,7,1,1, ,2,1, ,8,5,70,3,28,3,1,3,5,8,3,2,2,4,02/05/2018
49,191,CAROUSELL,7,8,6,7,6,5,0,7,7,9,6,6,8,7,6,6,8,7,6,6,6,6,97,7,6,8,6,1,5, ,1,1,6,6,2,200,1,46,5,1,5,6,8,3,2,1,4,02/05/2018
50,192,EBAY,8,7,7,7,8,8,0,8,7,7,8,6,6,6,8,6,6,8,8,7,8,6,6,7,6,6,6,3,2, ,1,1,7,7,1,120,2,40,1,1,4,7,8,2,2,1,2,1/29/2018
51,195,TAOBAO/TMALL,7,6,9,8,7,8,1,8,9,9,7,8,8,8,7,8,8,9,8,9,7,9,8,7,8,8,8,1,1, ,1,1,8,7,2,50,1,42,1,1,3,5,7,3,2,1,2,1/29/2018
