uid,company_v,poverq,soverq,pq,satis,repur,recomm,Q19,VN_1009_Q20A,VN_1009_TP01,VN_1009_TP02,VN_1009_TP03,VN_1009_TP04,VN_1009_TP05,VN_1009_TP06,VN_1009_TP07,VN_1009_TP08,VN_1009_TP09,VN_1009_TP10,VN_1009_TP11,VN_1009_TP12,VN_1009_TP13,VN_1009_TP14,VN_1009_TP15,VN_1009_TP16,VN_1009_TP17,VN_1009_TP18,VN_1009_TP19,VN_1009_TP20,VN_1009_TP21,VN_1009_TP21_6specify,VN_1009_TP24_1,VN_1009_TP24_2,VN_1009_TP22,VN_1009_TP23,Q9C_P,Q9D,VN_1009_TP25A,age,race,work,pincome,income,educat,childsupp,marital,gender,house,DOI
5,ZALORA,9,7,6,7,6,5,0,8,6,7,6,7,8,8,6,6,6,7,7,8,7,6,6,9,8,7,9,1,5, ,2,2, , ,1,90,2,30,1,1,2,4,8,1,2,1,2,1/29/2018
11,FAVE,7,8,8,7,7,6,0,8,8,7,7,6,8,9,7,8,97,8,8,7,7,97,97,7,8,8,6,1,1, ,1,2,7, ,6,80,3,29,1,1,2,4,7,99,1,1,2,1/29/2018
15,FAVE,6,7,7,6,6,6,0,7,8,7,6,8,7,8,6,6,6,8,7,7,8,6,97,7,7,7,8,1,1, ,1,1,6,7,4,35,1,42,1,1,4,5,8,2,2,2,3,02/01/2018
19,AMAZON,8,8,7,8,8,6,0,8,9,8,6,6,7,8,7,9,6,7,8,8,7,6,6,7,7,6,7,3,1, ,1,2,8, ,1,195,1,30,1,1,3,5,8,2,2,2,3,02/01/2018
20,QOO10,7,6,8,8,6,5,0,7,8,9,8,8,7,6,7,6,6,8,8,7,8,6,6,7,8,6,6,2,1, ,1,1,7,7,4,100,3,43,1,1,4,5,8,2,2,1,3,02/01/2018
21,AMAZON,7,8,7,8,8,6,0,8,9,9,7,8,9,6,8,9,6,8,9,7,8,6,8,6,8,6,6,2,1, ,1,1,7,7,6,150,3,42,5,1,4,5,9,3,2,1,3,02/01/2018
25,ASOS,6,7,7,7,8,6,0,7,9,9,7,9,8,6,8,8,9,7,8,7,7,6,8,7,8,8,9,2,1, ,1,1,8,6,2,270,1,39,1,1,4,6,8,3,2,2,4,02/07/2018
29,CAROUSELL,8,8,7,6,7,5,0,7,7,6,6,6,7,7,6,6,6,8,7,7,6,7,97,7,7,8,6,1,5, ,1,1,6,7,2,210,1,19,3,5, ,6,4,99,1,2,4,02/07/2018
33,TAOBAO/TMALL,7,7,6,7,7,6,0,7,9,8,7,6,8,7,6,6,6,7,6,6,7,8,7,7,6,7,7,1,1, ,1,1,6,7,2,160,1,27,1,1,4,6,9,3,2,2,4,2/13/2018
41,FAVE,8,6,8,8,6,6,0,7,8,9,8,7,8,7,6,8,97,8,7,7,8,97,97,8,7,8,6,1,1, ,2,2, , ,5,30,3,31,1,1,3,6,8,3,2,1,4,2/13/2018
43,EBAY,7,7,7,7,7,6,0,7,7,6,8,7,7,6,6,6,6,7,8,9,6,6,7,6,8,7,6,3,1, ,1,1,7,8,6,260,1,35,3,1,4,6,9,3,2,1,4,02/05/2018
46,FAVE,8,7,7,8,6,5,0,8,7,8,6,6,8,9,7,7,7,8,8,7,97,97,97,7,6,8,97,1,1, ,1,1,7,9,8,60,3,37,1,1,4,6,8,3,2,2,4,02/05/2018
51,TAOBAO/TMALL,7,8,8,7,6,8,0,7,7,8,6,6,7,6,7,6,6,8,7,9,6,7,6,6,6,8,6,1,1, ,1,2,7, ,1,130,1,40,1,1,3,5,6,1,2,2,4,02/05/2018
55,AMAZON,8,8,7,7,7,6,0,8,7,7,8,6,7,6,6,8,7,8,8,9,8,6,7,8,7,6,6,3,1, ,1,2,8, ,3,210,3,30,1,1,5,5,8,99,1,1,2,02/06/2018
59,CAROUSELL,7,6,7,7,6,6,0,7,8,8,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,6,1,5, ,2,1, ,7,2,160,1,40,2,1,5,6,8,99,1,2,2,02/06/2018
63,EBAY,7,8,7,6,6,6,0,7,6,8,6,7,7,6,8,8,8,7,7,8,7,6,6,7,6,6,6,3,1, ,1,1,7,8,1,69,1,39,5,1,3,5,7,99,1,2,2,1/31/2018
64,EZBUY,7,8,6,6,6,5,0,6,7,7,8,7,8,8,7,6,6,6,8,7,6,8,6,6,6,7,6,1,6,Debit Card,1,2,6, ,4,70,3,26,1,1,3,5,7,3,2,2,2,1/31/2018
68,CAROUSELL,6,6,8,6,7,6,0,6,7,8,6,6,7,7,8,6,7,7,8,7,6,6,6,7,8,7,7,1,5, ,2,1, ,7,2,140,1,48,1,1,3,5,7,1,2,1,3,1/30/2018
71,ZALORA,7,8,7,8,7,6,0,8,7,9,7,7,6,8,7,6,6,8,8,8,7,97,7,9,9,7,8,1,1, ,2,2, , ,2,105,1,31,2,1,3,5,8,2,2,1,3,1/30/2018
72,ZALORA,7,9,8,9,8,7,1,8,9,9,9,8,8,7,7,7,10,9,8,7,8,7,8,9,7,7,9,1,1, ,2,1, ,8,4,150,3,28,1,1,3,5,8,3,2,2,3,1/30/2018
75,FAVE,9,7,9,7,7,6,0,8,7,7,9,7,6,9,6,7,6,8,8,7,7,6,6,7,7,8,7,1,1, ,1,2,8, ,2,65,1,27,2,1,3,5,8,3,2,2,3,1/30/2018
77,AMAZON,8,7,9,9,7,7,0,9,9,8,10,8,9,10,10,9,9,8,9,8,10,10,9,9,8,8,10,2,1, ,1,2,7, ,2,180,1,28,1,1,4,6,7,1,2,2,3,1/30/2018
84,ALIEXPRESS,6,7,7,7,7,5,0,7,7,9,7,7,8,6,6,7,8,8,9,7,6,8,8,6,7,7,6,1,1, ,1,2,6, ,1,190,1,45,1,1,4,6,8,3,2,1,3,2/22/2018
87,QOO10,7,7,7,7,7,6,0,8,9,7,8,6,6,6,7,6,8,9,8,7,7,6,6,7,9,8,7,1,1, ,1,1,7,8,6,30,3,38,1,1,2,4,7,1,2,1,3,2/22/2018
