,ID,Regularly Dine at Casual Dining Restaurants,Have Dined at Other Mexican Restaurants In last 6 Months,"Gross Annual Income $15,000 or More",Favorite Mexican Restaurant,X1 -- Try New and Different Things,X2 -- Party Person,X3 -- People Come to Me,X4 -- Avoid Fried Foods,X5 -- Likes to Go Out Socially,X6 -- Friends Come to Me,X7 -- Self-Confident,"X8 -- Eat Balanced, Nutritious Meals",X9 -- Buy New Products,X10 -- Careful about What I Eat,X11 -- Try New Brands,X12 -- Friendly Employees,X13 -- Fun Place to Eat,X14 -- Large Size Portions,X15 -- Fresh Food,X16 -- Reasonable Prices,X17 -- Attractive Interior,X18 -- Excellent Food Taste,X19 -- Knowledgeable Employees,X20 -- Proper Food Temperature,X21 -- Speed of Service,X22 -- Satisfaction,X23 -- Likely to Return,X24 -- Likely to Recommend,X25 -- Frequency of Eating at  . . .  ??,X26 -- Price,X27 -- Food Quality,X28 -- Atmosphere,X29 -- Service,x30 -- Distance Driven,X31 -- Ad Recall,X32 -- Gender,X33 -- Number of Children at Home,X34 -- Age,X35 -- Income,X36 -- Innovator,X37 -- Health Conscious,X38 -- Opinion Leader,X39 -- Outgoing,X40 -- Service,X41 -- Food,X42 -- Value,X43 -- Atmosphere
0,1.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,4.0,5.0,4.0,4.0,5.0,5.0,4.0,Strongly Agree,5.0,4.0,5.0,6.0,4.0,Strongly Agree,4.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,Occasionally,Most Important,2.0,Least Important,3.0,More than 5 miles,Do Not Recall Ads,Male,No Children at Home,26 - 34,15000.0,6.0,4.333333333333333,5.0,4.0,4.333333333333333,5.666666666666667,4.0,6.0
1,6.0,1.0,1.0,1.0,Jose's Southwestern Cafe,3.0,5.0,5.0,3.0,6.0,4.0,4.0,3.0,6.0,3.0,4.0,3.0,5.0,6.0,6.0,6.0,5.0,Strongly Agree,4.0,Strongly Agree,4.0,6.0,5.0,5.0,Somewhat Frequently,Most Important,3.0,Least Important,2.0,1 -- 5 miles,Recall Ads,Female,1-2 Children at Home,26 - 34,100000.0,4.333333333333333,3.0,4.333333333333333,5.5,3.6666666666666665,6.666666666666667,6.0,5.0
2,7.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,2.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,6.0,4.0,6.0,4.0,6.0,6.0,3.0,4.0,4.0,4.0,3.0,2.0,Somewhat Infrequently,2.0,Most Important,Least Important,3.0,More than 5 miles,Do Not Recall Ads,Male,No Children at Home,35 - 49,65000.0,4.0,4.333333333333333,5.0,2.0,3.6666666666666665,5.333333333333333,4.0,6.0
3,9.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,5.0,3.0,5.0,5.0,5.0,3.0,6.0,3.0,Strongly Agree,5.0,5.0,5.0,Strongly Agree,4.0,5.0,6.0,4.0,6.0,Strongly Agree,7 = Highly Satisfied,Highly Likely,6.0,Very Frequently,Most Important,3.0,Least Important,2.0,1 -- 5 miles,Recall Ads,Female,1-2 Children at Home,35 - 49,100000.0,6.666666666666667,3.0,5.0,5.0,5.333333333333333,6.333333333333333,4.5,5.0
4,10.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,4.0,6.0,4.0,4.0,6.0,6.0,3.0,6.0,3.0,Strongly Agree,4.0,6.0,5.0,Strongly Agree,5.0,6.0,Strongly Agree,4.0,6.0,Strongly Agree,6.0,6.0,6.0,Somewhat Frequently,Most Important,2.0,3.0,Least Important,More than 5 miles,Do Not Recall Ads,Female,No Children at Home,35 - 49,120000.0,5.666666666666667,3.3333333333333335,6.0,4.0,5.0,6.666666666666667,5.0,6.0
5,15.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,2.0,4.0,5.0,2.0,4.0,2.0,5.0,Strongly Agree,6.0,Strongly Agree,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,Strongly Agree,5.0,4.0,2.0,Occasionally,3.0,Most Important,Least Important,2.0,1 -- 5 miles,Do Not Recall Ads,Male,1-2 Children at Home,35 - 49,70000.0,Strongly Agree,5.333333333333333,3.3333333333333335,2.0,5.333333333333333,4.333333333333333,3.0,5.0
6,20.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,5.0,4.0,5.0,5.0,5.0,3.0,Strongly Agree,5.0,Strongly Agree,5.0,5.0,4.0,Strongly Agree,4.0,5.0,6.0,4.0,3.0,Strongly Agree,4.0,3.0,2.0,Very Infrequently,2.0,Most Important,3.0,Least Important,More than 5 miles,Do Not Recall Ads,Male,No Children at Home,50 - 59,21000.0,Strongly Agree,4.0,5.0,5.0,5.333333333333333,5.333333333333333,4.0,5.0
7,26.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,Strongly Agree,6.0,3.0,Strongly Agree,5.0,6.0,4.0,6.0,4.0,Strongly Agree,5.0,6.0,5.0,Strongly Agree,5.0,6.0,6.0,6.0,5.0,Strongly Agree,7 = Highly Satisfied,6.0,5.0,Somewhat Frequently,Least Important,Most Important,3.0,2.0,More than 5 miles,Recall Ads,Female,1-2 Children at Home,18 - 25,95000.0,6.666666666666667,3.6666666666666665,5.666666666666667,Strongly Agree,6.0,6.0,5.0,6.0
8,27.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,5.0,4.0,5.0,5.0,4.0,5.0,4.0,Strongly Agree,4.0,Strongly Agree,5.0,4.0,3.0,6.0,3.0,4.0,6.0,4.0,5.0,Strongly Agree,6.0,5.0,4.0,Occasionally,2.0,Most Important,Least Important,3.0,More than 5 miles,Recall Ads,Male,No Children at Home,35 - 49,90000.0,Strongly Agree,4.333333333333333,4.333333333333333,5.0,5.333333333333333,5.666666666666667,3.0,4.0
9,28.0,1.0,1.0,1.0,Jose's Southwestern Cafe,Strongly Agree,4.0,6.0,3.0,4.0,5.0,2.0,3.0,6.0,3.0,Strongly Agree,5.0,6.0,3.0,Strongly Agree,3.0,6.0,Strongly Agree,Strongly Agree,6.0,Strongly Agree,7 = Highly Satisfied,Highly Likely,6.0,Somewhat Frequently,Most Important,3.0,Least Important,2.0,More than 5 miles,Recall Ads,Female,1-2 Children at Home,18 - 25,100000.0,6.666666666666667,3.0,4.333333333333333,4.0,6.333333333333333,6.666666666666667,3.0,6.0
