,ID,Regular_Dine_Res,Dine_Other_Mex_Res,Income_15k_more,Fav_Mex_Res,Try_New_Things,Party_Person,People_Come_Me,No_Fried,Likes_Go_Out,Friends_Come_Me,Self_Confident,Eat_Balanced,Buy_New_Prods,Care_What_Eat,Try_New_Brands,Friendly_Employess,Fun_Place,Large_Portions,Fresh_Food,Good_Prices,Nice_Interior,Excellent_Taste,Knowledgeable_Employees,Proper_Food_Temp,Speed_Service,Satisfaction,Prob_Return,Prob_Recommend,Freq_Eat_At,Price,Food_Quality,Atmosphere,Service,Distance_Driven,Ad_Recall,Gender,N_Children,Age,Income,Innovator,Health_Conscious,Opinion_Leader,Outgoing,Service_v2,Food,Value,Atmosphere_V2
0,1.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,7.0,5.0,4.0,5.0,6.0,4.0,7.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,Do Not Recall Ads,Male,1.0,2.0,15000.0,6.0,4.333333333333333,5.0,4.0,4.333333333333333,5.666666666666667,4.0,6.0
1,6.0,1.0,1.0,1.0,Jose's Southwestern Cafe,3.0,5.0,5.0,3.0,6.0,4.0,4.0,3.0,6.0,3.0,4.0,3.0,5.0,6.0,6.0,6.0,5.0,7.0,4.0,7.0,4.0,6.0,5.0,5.0,4.0,4.0,3.0,1.0,2.0,2.0,Recall Ads,Female,2.0,2.0,100000.0,4.333333333333333,3.0,4.333333333333333,5.5,3.6666666666666665,6.666666666666667,6.0,5.0
2,7.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,2.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,6.0,4.0,6.0,4.0,6.0,6.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,Do Not Recall Ads,Male,1.0,3.0,65000.0,4.0,4.333333333333333,5.0,2.0,3.6666666666666665,5.333333333333333,4.0,6.0
3,9.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,6.0,3.0,7.0,5.0,5.0,5.0,7.0,4.0,5.0,6.0,4.0,6.0,7.0,7.0,7.0,6.0,5.0,4.0,3.0,1.0,2.0,2.0,Recall Ads,Female,2.0,3.0,100000.0,6.666666666666667,3.0,5.0,5.0,5.333333333333333,6.333333333333333,4.5,5.0
4,10.0,1.0,1.0,1.0,Jose's Southwestern Cafe,4.0,4.0,6.0,4.0,4.0,6.0,6.0,3.0,6.0,3.0,7.0,4.0,6.0,5.0,7.0,5.0,6.0,7.0,4.0,6.0,7.0,6.0,6.0,6.0,4.0,4.0,2.0,3.0,1.0,3.0,Do Not Recall Ads,Female,1.0,3.0,120000.0,5.666666666666667,3.333333333333333,6.0,4.0,5.0,6.666666666666667,5.0,6.0
5,15.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,2.0,4.0,5.0,2.0,4.0,2.0,5.0,7.0,6.0,7.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,7.0,5.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,Do Not Recall Ads,Male,2.0,3.0,70000.0,7.0,5.333333333333333,3.3333333333333335,2.0,5.333333333333333,4.333333333333333,3.0,5.0
6,20.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,7.0,5.0,7.0,5.0,5.0,4.0,7.0,4.0,5.0,6.0,4.0,3.0,7.0,4.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0,Do Not Recall Ads,Male,1.0,4.0,21000.0,7.0,4.0,5.0,5.0,5.333333333333333,5.333333333333333,4.0,5.0
7,26.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,7.0,6.0,3.0,7.0,5.0,6.0,4.0,6.0,4.0,7.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,5.0,7.0,7.0,6.0,5.0,4.0,1.0,4.0,3.0,2.0,3.0,Recall Ads,Female,2.0,1.0,95000.0,6.666666666666667,3.6666666666666665,5.666666666666667,7.0,6.0,6.0,5.0,6.0
8,27.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,7.0,4.0,7.0,5.0,4.0,3.0,6.0,3.0,4.0,6.0,4.0,5.0,7.0,6.0,5.0,4.0,3.0,2.0,4.0,1.0,3.0,3.0,Recall Ads,Male,1.0,3.0,90000.0,7.0,4.333333333333333,4.333333333333333,5.0,5.333333333333333,5.666666666666667,3.0,4.0
9,28.0,1.0,1.0,1.0,Jose's Southwestern Cafe,7.0,4.0,6.0,3.0,4.0,5.0,2.0,3.0,6.0,3.0,7.0,5.0,6.0,3.0,7.0,3.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,4.0,4.0,3.0,1.0,2.0,3.0,Recall Ads,Female,2.0,1.0,100000.0,6.666666666666667,3.0,4.333333333333333,4.0,6.333333333333333,6.666666666666667,3.0,6.0
