"Date","Nokia","Sony","Samsung","Apple","RIM","Motorola","LG","Palm","HTC","T-Mobile","Google","Nintendo","Other"
2010-04,84.99,8.94,2.95,2.07,0.53,0.26,0.13,0.04,0.06,0.01,0.02,0,0
2010-05,84.31,8.4,3.59,2.62,0.6,0.25,0.1,0.04,0.04,0.02,0.02,0.01,0
2010-06,80.74,7.94,5.83,3.82,1.02,0.35,0.12,0.05,0.06,0.02,0.03,0.01,0
2010-07,79.15,7.55,6.67,4.33,1.36,0.46,0.21,0.08,0.09,0.03,0.03,0.02,0
2010-08,78.18,7.73,6.72,4.72,1.63,0.48,0.27,0.1,0.09,0.02,0.03,0.02,0.01
2010-09,82.03,6.78,5.32,3.66,1.47,0.33,0.24,0.06,0.06,0.02,0.02,0.01,0
2010-10,83.65,6.16,4.67,3.3,1.53,0.29,0.21,0.08,0.06,0.02,0.02,0.01,0
2010-11,82.83,6.21,5.1,3.44,1.75,0.26,0.24,0.07,0.05,0.03,0.02,0.01,0
2010-12,81.52,6.12,6.23,3.52,1.84,0.29,0.3,0.06,0.05,0.03,0.02,0.01,0
2010-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03,0,0,0,0,0,0,0,0,0,0,0,0,0
