"Date","Unknown","Samsung","Nokia","Huawei","Apple","RIM","Sony","LG","HTC","Lenovo","Vodafone","Alcatel","ZTE","Motorola","Google","Infinix","Wiko","Tecno","Archos","Acer","Oppo","Asus","Xiaomi","Micromax","Spice","Coolpad","Gionee","CAT","K-Touch","Condor","Hisense","HP","OnePlus","T-Mobile","Meizu","bq","Other"
2016-01,32.52,30.32,12.64,5.53,3.29,3.92,2.6,1.91,1.73,1.22,0.78,0.78,0.64,0.54,0.87,0,0.13,0,0.15,0.06,0.02,0.04,0.03,0.04,0.03,0.03,0,0.03,0.01,0,0.01,0.02,0.01,0.02,0.01,0.01,0.05
2016-02,32.12,30.27,12.64,5.72,3.42,4.11,2.65,1.89,1.81,1.35,0.86,0.71,0.68,0.6,0.48,0,0.12,0,0.15,0.07,0.02,0.04,0.04,0.05,0.03,0.03,0,0.03,0.01,0,0.01,0.02,0.01,0.01,0.01,0.01,0.04
2016-03,32.28,31.02,12.16,5.95,3.17,4.04,2.56,1.86,1.68,1.19,0.89,0.67,0.68,0.59,0.49,0,0.15,0,0.14,0.08,0.04,0.05,0.05,0.05,0.03,0.02,0,0.03,0.01,0,0.01,0.02,0.01,0.01,0.01,0.01,0.04
2016-04,32.81,30.22,12.46,5.96,3.13,4.15,2.51,1.78,1.69,1.2,0.94,0.64,0.71,0.59,0.45,0,0.16,0,0.13,0.1,0.04,0.06,0.05,0.05,0.04,0.02,0,0.03,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.04
2016-05,32.94,30.89,11.29,6.22,3.08,3.87,2.61,1.73,1.61,1.35,1.1,0.63,0.77,0.58,0.47,0,0.16,0,0.14,0.14,0.05,0.06,0.04,0.05,0.04,0.03,0,0.02,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.04
2016-06,32.73,31.96,9.72,6.31,3.46,3.42,2.72,1.88,1.61,1.6,1.01,0.61,0.74,0.58,0.72,0,0.23,0,0.15,0.13,0.05,0.06,0.04,0.04,0.05,0.02,0,0.03,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.04
2016-07,35.17,30.77,9.45,6.53,3.2,3.21,2.59,1.76,1.63,1.35,1,0.61,0.75,0.63,0.47,0,0.21,0,0.11,0.14,0.05,0.06,0.04,0.04,0.04,0.02,0,0.02,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.04
2016-08,37.84,29.44,8.32,6.55,3.37,2.79,2.35,1.83,1.81,1.36,0.8,0.62,0.63,0.75,0.68,0,0.21,0,0.11,0.13,0.05,0.08,0.05,0.05,0.03,0.02,0,0.02,0.03,0,0.01,0.01,0.01,0.01,0.01,0.01,0.04
2016-09,38.94,28.58,8.55,6.76,3.34,2.73,2.23,1.78,1.73,1.43,0.7,0.58,0.62,0.7,0.4,0,0.22,0,0.11,0.12,0.05,0.08,0.05,0.05,0.04,0.03,0,0.02,0.03,0,0.01,0.01,0.01,0.01,0.02,0.01,0.04
2016-10,37.56,30.01,8.35,6.65,3.67,2.49,2.3,1.77,1.7,1.69,0.65,0.54,0.52,0.57,0.4,0.08,0.3,0,0.12,0.12,0.11,0.08,0.05,0.03,0.05,0.03,0.02,0.02,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.05
2016-11,32.52,32.08,7.56,7.05,3.68,2.14,2.37,1.65,1.6,1.72,2.82,0.63,0.55,0.51,0.33,1.05,0.39,0.28,0.11,0.17,0.22,0.1,0.06,0.02,0.05,0.03,0.11,0.02,0.02,0,0.01,0.01,0.02,0.01,0.01,0.01,0.09
2016-12,29.22,31.66,6.7,7.22,3.49,1.73,2.34,1.65,1.54,1.58,3.19,0.88,0.5,0.53,0.4,3.23,0.41,2.18,0.09,0.11,0.22,0.09,0.07,0.03,0.04,0.03,0.14,0.02,0.02,0.18,0.08,0.01,0.02,0.01,0.01,0.01,0.36
