"Date","Nokia","Sony","RIM","Apple","Samsung","Motorola","LG","Google","HTC","Palm","Other"
2010-04,73.3,12.98,2.7,7.97,2.47,0.22,0.13,0.07,0.08,0.05,0.03
2010-05,72.15,12.31,3.43,8.29,3.42,0.16,0.09,0.07,0.02,0.03,0.03
2010-06,72.3,11.64,4.02,7.22,4.44,0.16,0.09,0.07,0.02,0.03,0.02
2010-07,72.08,12.03,4.18,7.08,4.08,0.17,0.16,0.1,0.07,0.03,0.02
2010-08,71.83,12.18,3.99,7.16,4.28,0.17,0.18,0.09,0.07,0.03,0.02
2010-09,63.54,10.67,15.33,5.97,4.04,0.13,0.14,0.08,0.05,0.02,0.01
2010-10,63.94,10.87,14.06,6.58,4.09,0.13,0.14,0.09,0.05,0.02,0.01
2010-11,64.05,9.67,13.57,7.1,5.13,0.13,0.15,0.1,0.05,0.02,0.01
2010-12,64.53,9.38,11.57,8.28,5.77,0.13,0.15,0.12,0.04,0.02,0.01
2010-01,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,0,0,0,0,0,0,0,0,0,0
2010-03,0,0,0,0,0,0,0,0,0,0,0
