"Date","Samsung","Unknown","Apple","Nokia","Micromax","Lenovo","LG","Huawei","Sony","HTC","Xiaomi","General Mobile","Asus","Motorola","Oppo","BBK","RIM","Turkcell","Google","ZTE","Casper","Gionee","Coolpad","AIS","Spice","Vodafone","Meizu","Lava","Hisense","Vestel","Lyf","OnePlus","Alcatel","Reliance Digital","LeEco","Wiko","Avea","Acer","True","Panasonic","Turk Telecom","InFocus","White Label","HP","i-Mobile","Yu","QMobile","Pantech","dtac","Smartfren","K-Touch","China Mobile","Other"
2016-01,30.92,19.91,11.01,9.86,4.5,2.82,2.94,2,2.75,2.21,1.24,2.05,1.35,1.08,0.81,0.26,0.85,0.35,0.58,0.34,0.23,0.08,0.15,0.15,0.28,0.07,0.13,0.12,0.28,0.13,0,0.07,0.15,0,0,0.02,0.08,0.05,0,0,0,0.03,0.02,0.03,0,0,0,0.02,0,0,0.01,0.01,0.04
2016-02,30.83,20.58,10.86,9.51,4.55,2.99,2.75,2.09,2.7,2.21,1.34,1.84,1.41,1.13,0.81,0.28,0.83,0.34,0.45,0.32,0.21,0.1,0.16,0.15,0.28,0.09,0.14,0.11,0.29,0.13,0,0.07,0.14,0,0,0.02,0.07,0.05,0,0,0,0.03,0.02,0.03,0,0,0,0.02,0,0,0.01,0.01,0.04
2016-03,33.37,17.78,10.99,8.56,4.2,3.02,2.78,2.23,2.85,2.19,1.63,1.95,1.84,1.1,0.98,0.3,0.68,0.44,0.42,0.33,0.28,0.1,0.16,0.13,0.25,0.22,0.15,0.1,0.26,0.14,0,0.11,0.14,0,0,0.03,0.08,0.05,0,0,0.03,0.03,0.02,0.03,0,0,0,0.02,0,0,0.01,0.01,0.04
2016-04,32.92,18.35,11.19,8.31,4.06,3.18,2.72,2.39,2.77,2.15,1.75,1.78,1.87,1.13,0.99,0.33,0.6,0.41,0.43,0.33,0.25,0.12,0.18,0.11,0.23,0.21,0.18,0.09,0.25,0.13,0,0.12,0.13,0,0,0.03,0.07,0.05,0,0,0.04,0.03,0.03,0.03,0,0,0,0.01,0,0,0.01,0.01,0.03
2016-05,32.6,19.28,11.3,8.01,4.23,3.27,2.57,2.43,2.67,2.09,1.74,1.55,1.82,1.17,0.93,0.31,0.6,0.36,0.54,0.29,0.22,0.13,0.17,0.11,0.23,0.18,0.17,0.09,0.24,0.11,0,0.13,0.12,0,0,0.03,0.06,0.04,0,0,0.04,0.03,0.03,0.03,0,0,0,0.01,0,0,0.01,0.01,0.03
2016-06,33.09,18.23,12.66,7.17,3.65,3.08,2.94,2.75,2.62,2.12,1.73,1.68,1.73,1.14,0.88,0.35,0.57,0.4,0.66,0.31,0.25,0.12,0.18,0.13,0.21,0.19,0.2,0.07,0.17,0.12,0,0.14,0.12,0,0,0.04,0.06,0.04,0,0,0.04,0.03,0.04,0.02,0,0,0,0.01,0,0,0.01,0.01,0.03
2016-07,32.86,19.13,12.61,7.17,3.51,3.17,2.9,2.91,2.44,2.12,1.78,1.61,1.64,1.2,0.85,0.4,0.51,0.37,0.32,0.31,0.23,0.13,0.2,0.11,0.19,0.18,0.22,0.06,0.13,0.12,0,0.14,0.11,0,0,0.04,0.06,0.04,0,0,0.04,0.02,0.05,0.02,0,0,0,0.01,0,0,0.01,0.02,0.03
2016-08,32.92,19.63,13.06,6.89,3.42,3.12,2.96,2.9,2.31,2.1,1.59,1.64,1.54,1.18,0.74,0.33,0.43,0.37,0.49,0.3,0.24,0.12,0.17,0.13,0.18,0.17,0.2,0.06,0.1,0.12,0,0.13,0.1,0,0,0.04,0.06,0.04,0,0,0.05,0.02,0.04,0.02,0,0,0,0.01,0,0,0.01,0.01,0.03
2016-09,33.2,20.98,12.62,6.31,3.59,3.35,2.85,2.79,2.26,2.13,1.49,1.57,1.49,1.24,0.65,0.26,0.39,0.36,0.18,0.31,0.23,0.16,0.14,0.15,0.18,0.17,0.17,0.06,0.08,0.12,0,0.13,0.09,0,0,0.05,0.06,0.04,0,0,0.05,0.02,0.03,0.02,0,0,0,0.01,0,0,0.01,0.01,0.02
2016-10,33.39,19.98,12.21,5.5,3.44,3.86,2.71,2.62,2.09,2.03,2.12,1.56,1.56,1.47,1.18,0.5,0.38,0.34,0.19,0.31,0.26,0.23,0.19,0.15,0.16,0.2,0.15,0.05,0.07,0.17,0.08,0.15,0.09,0.18,0.12,0.06,0.05,0.04,0,0,0.05,0.02,0.02,0.02,0,0,0,0.01,0.02,0,0.01,0.01,0.04
2016-11,34.72,14.32,11.86,4.83,3.25,3.86,2.74,2.54,2.1,1.92,2.9,1.73,1.71,1.32,2.23,1.48,0.4,0.42,0.21,0.34,0.34,0.48,0.34,0.4,0.14,0.23,0.14,0.31,0.05,0.26,0.49,0.16,0.09,0.38,0.28,0.15,0.05,0.05,0.13,0.11,0.05,0.04,0.02,0.02,0.09,0.09,0.03,0.01,0.06,0.03,0.01,0.01,0.08
2016-12,34.32,12.36,11.8,4.55,3.34,3.95,2.56,2.61,2.15,1.86,3.24,1.59,1.75,1.32,2.66,1.77,0.34,0.4,0.19,0.34,0.33,0.64,0.37,0.58,0.13,0.21,0.15,0.68,0.05,0.27,0.72,0.17,0.1,0.39,0.3,0.18,0.04,0.08,0.28,0.28,0.05,0.1,0.02,0.01,0.13,0.12,0.11,0.01,0.06,0.08,0.01,0.01,0.23
