"Date","Samsung","Apple","Xiaomi","Oppo","Huawei","Mobicel","Unknown","Lenovo","Motorola","Nokia","LG","Asus","BBK","Sony","General Mobile","Micromax","OnePlus","HTC","Lava","Realme","Google","Hisense","Gionee","Vestel","QMobile","Itel","Tecno","Casper","Infinix","Lyf","Opp","Panasonic","Coolpad","Turkcell","Wiko","ZTE","LeEco","Symphony","Meizu","Intex","Xolo","Vivo","InFocus","Alcatel","Karbonn","Vodafone","Mobiistar","Comio","Reliance Digital","Smartisan","Smartfren","Spice","True","Sharp","AIS","Yu","RIM","Neffos","Turk Telecom","Cherry Mobile","Acer","dtac","BlackBerry","Other"
2019-01,32.08,13.8,11.79,7.73,6.07,5.31,5.96,2.24,1.57,1.45,1.48,0.88,1.07,0.63,0.82,1.06,0.54,0.86,0.7,0,0.11,0,0.44,0.15,0.24,0.28,0.2,0.07,0.11,0.2,0,0.16,0.17,0.13,0.18,0.13,0.1,0.07,0.08,0.12,0.07,0,0.07,0.05,0.09,0.04,0.02,0.07,0.07,0.01,0.04,0.05,0.08,0.01,0.07,0.04,0.04,0.02,0,0.01,0.01,0.02,0,0.15
2019-02,31.02,14.09,12.09,7.83,6.35,5.56,6.4,2.19,1.6,1.52,1.35,0.84,1.05,0.59,0.66,1.03,0.58,0.82,0.66,0,0.13,0,0.43,0.13,0.28,0.29,0.2,0.05,0.11,0.2,0,0.16,0.16,0.1,0.12,0.11,0.09,0.11,0.08,0.11,0.07,0,0.07,0.04,0.08,0.04,0.02,0.07,0.06,0.01,0.03,0.05,0.04,0.02,0.05,0.04,0.03,0.02,0,0.01,0.01,0.01,0,0.13
2019-03,31.4,13.23,11.62,8.06,6.97,4.93,5.71,2.01,1.5,1.48,1.35,1.37,1.27,0.98,0.69,0.88,0.65,0.78,0.66,0.04,0.12,0.01,0.45,0.31,0.28,0.27,0.19,0.21,0.13,0.2,0,0.16,0.15,0.11,0.16,0.12,0.12,0.12,0.09,0.1,0.09,0,0.09,0.07,0.07,0.05,0.03,0.06,0.06,0.01,0.04,0.04,0.06,0.04,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.18
2019-04,32.24,14.06,10.88,7.77,7.28,4.68,5.73,1.85,1.34,1.35,1.42,1.4,1.15,1.01,0.82,0.74,0.62,0.79,0.59,0.05,0.13,0.01,0.38,0.38,0.28,0.25,0.16,0.25,0.12,0.16,0,0.14,0.13,0.13,0.14,0.12,0.11,0.13,0.09,0.08,0.08,0,0.07,0.07,0.06,0.06,0.03,0.04,0.05,0.01,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.02,0.02,0.01,0.02,0.02,0.01,0.17
2019-05,31.15,13.75,11.61,8.04,7.41,5.08,6.14,1.79,1.32,1.35,1.31,1.48,1.16,0.99,0.68,0.72,0.66,0.73,0.58,0.06,0.2,0.01,0.38,0.32,0.21,0.25,0.17,0.21,0.12,0.16,0,0.13,0.13,0.1,0.12,0.11,0.11,0.13,0.09,0.07,0.08,0,0.07,0.06,0.05,0.05,0.04,0.05,0.05,0.01,0.05,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.16
2019-06,31.9,12.74,11.27,7.42,7.86,5.13,6.89,1.75,1.36,1.35,1.37,1.33,1.1,0.9,0.87,0.69,0.64,0.68,0.58,0.06,0.19,0.01,0.36,0.39,0.26,0.27,0.17,0.26,0.13,0.15,0,0.13,0.12,0.12,0.09,0.11,0.1,0.17,0.08,0.07,0.08,0,0.07,0.07,0.05,0.06,0.04,0.04,0.04,0.01,0.04,0.03,0.02,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.16
2019-07,30.25,12.72,11.8,7.75,7.94,5.83,7.48,1.66,1.34,1.32,1.21,1.31,1.2,0.8,0.78,0.64,0.63,0.6,0.55,0.07,0.21,0.19,0.35,0.35,0.26,0.25,0.18,0.23,0.13,0.14,0,0.12,0.12,0.1,0.08,0.1,0.1,0.13,0.09,0.07,0.08,0,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.05,0.03,0.02,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.15
2019-08,31.39,12.86,12.55,8.19,7.7,5.89,4.62,1.56,1.29,1.25,1.25,1.32,1.07,0.79,0.79,0.58,0.64,0.58,0.51,0.48,0.18,0.36,0.32,0.35,0.28,0.22,0.24,0.23,0.14,0.12,0.4,0.11,0.11,0.1,0.09,0.1,0.09,0.06,0.09,0.07,0.07,0.12,0.06,0.06,0.05,0.05,0.07,0.04,0.03,0.04,0.04,0.03,0.02,0.04,0.02,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.16
2019-09,30.59,12.97,12.41,8.05,8.81,6.03,4.05,1.42,1.2,1.18,1.19,1.24,1.07,0.73,0.78,0.53,0.72,0.52,0.48,0.84,0.19,0.81,0.3,0.34,0.24,0.23,0.24,0.22,0.16,0.11,0.51,0.1,0.1,0.1,0.08,0.09,0.09,0.07,0.09,0.06,0.07,0.18,0.05,0.05,0.04,0.04,0.07,0.04,0.03,0.08,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.15
2019-10,30.22,12.86,11.64,7.31,8.64,5.85,4,1.24,1.04,1.09,1.13,1.1,0.91,0.69,0.78,0.48,0.73,0.47,0.43,0.98,3.5,0.92,0.25,0.34,0.22,0.21,0.22,0.23,0.17,0.09,0.56,0.09,0.09,0.1,0.07,0.08,0.07,0.05,0.08,0.05,0.06,0.19,0.05,0.05,0.03,0.04,0.07,0.03,0.02,0.08,0.03,0.02,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.14
