"Date","Samsung","Xiaomi","Apple","Oppo","Vivo","Huawei","Realme","Unknown","OnePlus","Infinix","Tecno","Motorola","Asus","Nokia","Sony","LG","Lenovo","General Mobile","Google","Itel","BBK","HTC","Casper","Infinex","Vestel","Reeder","Lava","Honor","Micromax","Sharp","Gionee","Alcatel","Meizu","TCL","ZTE","Vsmart","Turkcell","LeEco","Yxtel","Jio","Omix","QMobile","Other"
2022-01,23.43,16.82,17.73,9.55,8.73,6.68,5.62,3.18,1.41,0.91,0.7,0.57,0.62,0.52,0.53,0.42,0.5,0.23,0.29,0.23,0.23,0.19,0.08,0.12,0.08,0.03,0.12,0.05,0.06,0.04,0.05,0.02,0.03,0.01,0.02,0,0.01,0.02,0.01,0,0,0.02,0.14
2022-02,23.68,16.61,17.9,9.45,8.59,6.61,5.68,3.26,1.39,0.94,0.77,0.55,0.59,0.51,0.55,0.42,0.5,0.21,0.27,0.27,0.22,0.17,0.07,0.12,0.07,0.03,0.11,0.06,0.06,0.04,0.04,0.02,0.03,0.01,0.02,0,0.01,0.02,0.01,0,0,0.02,0.14
2022-03,24.39,16.66,17.78,9.21,8.22,6.92,5.52,3.24,1.35,0.92,0.75,0.52,0.57,0.47,0.54,0.43,0.46,0.28,0.26,0.25,0.2,0.18,0.1,0.11,0.09,0.04,0.11,0.05,0.05,0.03,0.04,0.03,0.03,0.01,0.02,0,0.02,0.01,0.01,0,0,0.01,0.13
2022-04,23.61,16.78,18,9.49,8.49,6.31,5.73,3.62,1.4,0.96,0.73,0.52,0.58,0.49,0.55,0.38,0.44,0.2,0.28,0.25,0.19,0.18,0.07,0.11,0.07,0.03,0.1,0.06,0.05,0.03,0.04,0.02,0.03,0.01,0.02,0,0.01,0.01,0.01,0,0,0.01,0.13
2022-05,24.95,17.5,17.91,9.02,7.77,6.57,5.37,3.06,1.34,0.91,0.72,0.49,0.51,0.46,0.52,0.43,0.42,0.36,0.25,0.23,0.16,0.16,0.12,0.1,0.11,0.05,0.08,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0,0.02,0.01,0.01,0,0,0.01,0.11
2022-06,24.89,18.11,17.41,9.34,7.99,6.27,5.53,2.81,1.32,0.93,0.75,0.48,0.46,0.43,0.48,0.41,0.39,0.38,0.24,0.22,0.15,0.13,0.13,0.11,0.11,0.06,0.08,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0,0.02,0.01,0.02,0,0,0.01,0.1
2022-07,24.05,17.81,17.92,8.97,7.9,7.13,5.31,3.66,1.28,0.89,0.73,0.46,0.39,0.4,0.39,0.39,0.36,0.38,0.23,0.2,0.18,0.11,0.13,0.1,0.11,0.06,0.07,0.06,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0,0.02,0.01,0.02,0,0,0.01,0.1
2022-08,25.69,18.2,17.18,8.74,7.59,6.64,5.19,3.39,1.33,0.92,0.74,0.47,0.38,0.4,0.38,0.44,0.35,0.41,0.24,0.2,0.13,0.11,0.14,0.1,0.12,0.06,0.06,0.06,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0,0.02,0.01,0.02,0,0,0.01,0.09
2022-09,25.34,18.54,16.49,9.02,8.15,6.25,5.56,2.96,1.39,1.05,0.85,0.47,0.36,0.4,0.35,0.41,0.33,0.38,0.22,0.23,0.12,0.1,0.16,0.1,0.11,0.12,0.06,0.07,0.03,0.03,0.02,0.04,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.09
2022-10,25.01,18.32,16.06,9.68,8.45,5.87,5.72,3.06,1.44,1.14,0.89,0.46,0.34,0.37,0.35,0.35,0.31,0.37,0.23,0.23,0.12,0.09,0.18,0.1,0.1,0.18,0.05,0.08,0.03,0.03,0.02,0.04,0.02,0.04,0.02,0.03,0.01,0.01,0.01,0.04,0.05,0.01,0.09
2022-11,25.22,18.02,15.92,10.66,8.53,5.24,5.81,2.95,1.42,1.21,0.92,0.46,0.29,0.38,0.3,0.31,0.29,0.32,0.21,0.24,0.11,0.07,0.16,0.1,0.09,0.16,0.05,0.07,0.03,0.03,0.02,0.04,0.02,0.04,0.02,0.09,0.01,0.02,0.01,0.04,0.04,0.01,0.08
2022-12,23.33,16.23,16.39,10.48,9.12,5.74,6.16,4.91,1.57,1.27,0.93,0.49,0.28,0.37,0.27,0.26,0.28,0.17,0.35,0.25,0.15,0.06,0.09,0.11,0.05,0.1,0.04,0.12,0.03,0.02,0.02,0.02,0.03,0.02,0.03,0.08,0.01,0.01,0.01,0.04,0.02,0.01,0.08
