"Date","Apple","RIM","Nokia","Sony","Samsung","Nintendo","Google","T-Mobile","Palm","LG","HTC","Motorola","Other"
2010-04,54,12.25,21.61,8.26,2.15,0.39,0.18,0.51,0.26,0.19,0.15,0.05,0.01
2010-05,55.1,13.12,19.89,7.99,2.48,0.38,0.2,0.38,0.22,0.11,0.12,0.02,0
2010-06,53.15,15.24,19.29,8.27,2.63,0.34,0.28,0.33,0.21,0.12,0.11,0.03,0
2010-07,50.61,18.17,18.45,8.66,2.62,0.29,0.33,0.28,0.21,0.2,0.12,0.04,0
2010-08,52.24,17.94,17.52,8.2,2.76,0.28,0.31,0.23,0.18,0.19,0.11,0.03,0
2010-09,50.04,20.51,17.2,8.04,3.02,0.22,0.29,0.19,0.17,0.18,0.09,0.04,0
2010-10,50.12,21.05,16.45,8.01,3.27,0.21,0.27,0.16,0.16,0.17,0.08,0.04,0
2010-11,48.12,23.39,15.85,7.77,3.9,0.19,0.23,0.13,0.15,0.17,0.07,0.03,0
2010-12,49.06,22.18,15.58,7.56,4.64,0.22,0.24,0.11,0.13,0.17,0.06,0.04,0
2010-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03,0,0,0,0,0,0,0,0,0,0,0,0,0
