"Date","Apple","Samsung","Unknown","Nokia","RIM","HTC","Sony","LG","Huawei","Google","ZTE","Motorola","Alcatel","Acer","Vodafone","Nintendo","Archos","Micromax","Lenovo","HP","T-Mobile","Other"
2013-01,39.02,26.03,5.73,6.41,6.33,5.66,5.51,1.95,0.82,0.5,0.43,0.47,0.25,0.33,0.17,0.29,0.05,0,0,0,0.02,0.02
2013-02,39.81,26.72,6.08,6.38,4.61,5.33,5.53,2.13,0.85,0.5,0.43,0.46,0.26,0.34,0.17,0.29,0.06,0,0,0,0.02,0.02
2013-03,38.94,27.29,5.67,6.83,4.78,5.11,5.69,2.19,0.85,0.68,0.42,0.44,0.27,0.26,0.17,0.29,0.06,0.01,0.01,0,0.01,0.03
2013-04,38.93,27.28,5.84,6.76,4.94,4.95,5.59,2.23,0.86,0.7,0.41,0.41,0.26,0.24,0.16,0.29,0.07,0.02,0.01,0,0.01,0.03
2013-05,39.25,27.31,5.93,6.82,4.85,4.81,5.36,2.26,0.86,0.72,0.41,0.39,0.27,0.23,0.16,0.21,0.07,0.03,0.01,0,0.01,0.03
2013-06,39.07,27.3,6.03,7.3,4.84,4.69,5.01,2.35,0.9,0.71,0.4,0.38,0.29,0.22,0.16,0.21,0.08,0.04,0.01,0,0.01,0.03
2013-07,38.73,27.76,6.65,6.49,4.88,4.74,4.64,2.53,1,0.72,0.41,0.36,0.31,0.23,0.18,0.17,0.08,0.06,0.02,0,0.01,0.03
2013-08,38.23,28.41,7.23,5.98,4.46,4.75,4.51,2.77,1.09,0.72,0.41,0.35,0.33,0.25,0.2,0.11,0.08,0.06,0.02,0,0.01,0.03
2013-09,37.55,28.46,7.76,6.17,4.46,4.61,4.28,2.9,1.2,0.75,0.41,0.33,0.36,0.26,0.22,0.09,0.08,0.04,0.03,0,0.01,0.03
2013-10,34.79,27.45,9.45,7.88,5.13,4.3,4.09,3.03,1.31,0.72,0.4,0.29,0.42,0.25,0.25,0.07,0.08,0.01,0.06,0,0.01,0.03
2013-11,37.39,28.74,7.28,5.87,5.43,4.28,3.82,3.08,1.36,0.75,0.4,0.28,0.46,0.26,0.26,0.07,0.09,0.01,0.06,0.06,0.01,0.04
2013-12,35.84,28.92,7.97,7.07,5,4.15,3.54,3.15,1.44,0.72,0.38,0.25,0.49,0.26,0.26,0.06,0.1,0.14,0.12,0.08,0.01,0.05
