"Date","Samsung","Apple","Huawei","Sony","Unknown","LG","HTC","Nokia","Lenovo","RIM","Motorola","bq","Alcatel","Google","ZTE","Wiko","Vodafone","Asus","Xiaomi","OnePlus","Archos","Acer","Meizu","General Mobile","Orange","Micromax","Kazam","HP","MyPhone","Oppo","CAT","Prestigio","Coolpad","Turkcell","Other"
2016-01,33.81,28.26,4.57,6.82,6.3,5.38,2.84,3.37,1.79,1.25,0.85,0.75,0.73,0.67,0.37,0.36,0.28,0.27,0.22,0.2,0.17,0.12,0.07,0.07,0.09,0.07,0.07,0.05,0.03,0.03,0.02,0.02,0.01,0.01,0.07
2016-02,34.29,27.8,4.88,6.69,6.15,5.47,2.86,3.3,1.92,1.21,0.82,0.65,0.73,0.62,0.39,0.36,0.29,0.26,0.22,0.19,0.17,0.11,0.07,0.07,0.09,0.07,0.07,0.05,0.03,0.03,0.02,0.02,0.01,0.01,0.06
2016-03,35.59,26.86,5.28,6.77,5.41,5.44,2.72,3.02,1.89,1.17,0.83,0.72,0.7,0.57,0.4,0.44,0.47,0.34,0.24,0.27,0.16,0.11,0.07,0.08,0.08,0.07,0.07,0.04,0.03,0.04,0.02,0.02,0.01,0.01,0.07
2016-04,35.5,26.55,5.61,6.67,5.5,5.48,2.67,2.87,1.88,1.32,0.85,0.79,0.67,0.61,0.42,0.45,0.46,0.35,0.24,0.27,0.16,0.1,0.07,0.07,0.08,0.08,0.06,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.06
2016-05,35.32,26.84,5.98,6.42,5.6,5.38,2.61,2.74,1.88,1.28,0.86,0.8,0.64,0.65,0.43,0.44,0.45,0.36,0.23,0.28,0.15,0.09,0.08,0.06,0.07,0.09,0.06,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.06
2016-06,35.47,27.36,6.3,6.27,5.55,5.51,2.65,2.52,1.85,0.94,0.83,0.66,0.59,0.64,0.44,0.44,0.41,0.36,0.21,0.29,0.16,0.09,0.07,0.06,0.06,0.06,0.06,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.05
2016-07,35.33,26.87,6.84,6.06,5.99,5.54,2.56,2.35,1.92,0.87,0.89,0.68,0.57,0.61,0.5,0.44,0.4,0.37,0.2,0.29,0.17,0.08,0.07,0.05,0.06,0.08,0.05,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.05
2016-08,35.36,26.38,7.63,5.94,5.9,5.74,2.46,2.18,1.88,0.78,0.9,0.78,0.54,0.59,0.54,0.45,0.4,0.38,0.2,0.27,0.18,0.08,0.08,0.05,0.06,0.05,0.05,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.04
2016-09,35.54,26.17,7.87,5.71,5.98,5.65,2.47,2,2.04,0.73,0.89,0.77,0.5,0.59,0.58,0.45,0.4,0.4,0.2,0.26,0.18,0.07,0.08,0.14,0.06,0.06,0.04,0.03,0.02,0.01,0.02,0.01,0.01,0.03,0.07
2016-10,35.7,26.86,8.15,5.41,5.45,5.42,2.43,1.88,1.95,0.71,0.89,0.82,0.47,0.61,0.63,0.51,0.42,0.41,0.32,0.3,0.18,0.07,0.08,0.04,0.05,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.05
2016-11,36.9,26.93,8.08,5.17,4.22,5.04,2.23,1.72,1.99,0.59,0.91,0.89,0.63,0.63,0.62,0.78,0.54,0.46,0.52,0.37,0.18,0.09,0.08,0.07,0.05,0.05,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.01,0.13
2016-12,36.04,27.35,8.41,5.04,3.92,4.82,2.21,1.59,2.13,0.51,0.9,0.91,0.97,0.63,0.65,0.77,0.54,0.51,0.61,0.4,0.17,0.12,0.09,0.06,0.06,0.05,0.03,0.02,0.06,0.05,0.01,0.01,0.04,0.01,0.31
