"Date","Apple","RIM","Samsung","Nokia","Sony","Palm","Motorola","T-Mobile","Nintendo","Google","LG","HTC","Danger","Other"
2010-04,52.81,32.81,2.33,2.91,3.43,1.57,0.4,2.35,0.59,0.3,0.39,0.09,0.03,0
2010-05,52.56,33.23,3.48,2.89,3.18,1.63,0.08,1.97,0.58,0.29,0.06,0,0.03,0
2010-06,50.36,35.1,3.58,3.2,3.32,1.68,0.07,1.69,0.61,0.3,0.06,0,0.02,0
2010-07,47.82,36.63,3.93,3.73,3.18,1.7,0.36,1.4,0.59,0.3,0.28,0.06,0.02,0
2010-08,46.25,38.73,4.33,3.71,2.75,1.54,0.39,1.11,0.57,0.27,0.28,0.06,0.01,0
2010-09,48.74,34.56,5.88,4.18,2.69,1.49,0.41,1.04,0.43,0.27,0.24,0.06,0.01,0
2010-10,46.4,37.66,5.99,4.17,2.5,1.27,0.35,0.83,0.36,0.22,0.18,0.05,0.01,0
2010-11,42.57,39.54,6.05,3.87,2.35,1.09,3.13,0.65,0.36,0.19,0.16,0.04,0.01,0
2010-12,43.88,37.5,6.28,3.79,2.42,0.98,3.87,0.54,0.4,0.17,0.15,0.03,0,0
2010-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
