"Date","Apple","Samsung","HTC","Unknown","Motorola","LG","RIM","Nokia","Huawei","Google","ZTE","Sony","Kyocera","Pantech","Nintendo","Alcatel","Casio","Acer","Micromax","T-Mobile","Pandigital","Dell","Palm","Sanyo","HP","Other"
2013-01,51.19,14.84,6.64,5.81,5.24,3.82,2.76,3.78,1.31,0.85,0.8,1.09,0.34,0.45,0.48,0.09,0.14,0.21,0.04,0.03,0.04,0.02,0.02,0,0,0
2013-02,51.95,15.05,6.12,5.81,4.93,3.95,2.67,3.76,1.29,0.82,0.82,1.03,0.35,0.42,0.47,0.09,0.13,0.19,0.04,0.03,0.03,0.02,0.02,0,0,0
2013-03,51.07,17.42,5.83,4.34,5.15,4.15,2.49,3.59,1.28,0.98,0.91,1.03,0.38,0.41,0.53,0.1,0.13,0.09,0.04,0.02,0.03,0.02,0.02,0,0,0
2013-04,51.73,17.78,5.55,4.29,5.01,4.2,2.45,3.06,1.24,1.02,0.92,1.01,0.38,0.4,0.54,0.1,0.12,0.07,0.03,0.02,0.03,0.02,0.02,0,0,0
2013-05,52.24,18.19,5.27,4.24,4.75,4.17,2.51,2.89,1.23,1.04,0.95,0.97,0.4,0.4,0.38,0.1,0.11,0.06,0.03,0.02,0.02,0.02,0.01,0,0,0
2013-06,52.12,18.24,4.9,4.17,4.42,4.14,3.39,2.79,1.26,1.05,0.96,0.98,0.43,0.38,0.41,0.11,0.1,0.06,0.03,0.02,0.02,0.01,0.01,0,0,0.01
2013-07,51.47,18.36,4.66,4.06,4.22,4.31,4.47,2.55,1.28,1.03,0.99,0.96,0.42,0.42,0.39,0.14,0.1,0.06,0.04,0.02,0.02,0.01,0.01,0.04,0,0.01
2013-08,50.29,19.19,4.45,4.18,3.98,4.45,5.14,2.47,1.26,1.05,1.01,0.93,0.43,0.41,0.3,0.17,0.09,0.06,0.04,0.02,0.02,0.01,0.01,0.03,0,0.01
2013-09,50.14,19.83,4.28,4.25,3.75,4.33,5.44,2.59,1.19,0.98,0.91,0.81,0.4,0.39,0.23,0.2,0.08,0.05,0.06,0.02,0.01,0.01,0.01,0.03,0,0.01
2013-10,49.15,20.02,4.04,4.82,3.62,4.43,5.61,2.89,1.25,0.96,0.89,0.78,0.41,0.38,0.2,0.27,0.08,0.05,0.07,0.02,0.01,0.01,0.01,0.02,0,0.02
2013-11,49.86,20.68,3.96,4.23,3.55,4.55,5.18,2.74,1.24,0.93,0.87,0.64,0.42,0.36,0.19,0.26,0.07,0.05,0.08,0.01,0.01,0.01,0.01,0.02,0.03,0.03
2013-12,50.07,20.94,3.73,4.58,3.3,4.57,4.88,2.79,1.21,0.9,0.88,0.55,0.42,0.32,0.15,0.31,0.07,0.05,0.11,0.01,0.01,0.01,0.01,0.02,0.07,0.05
