"Date","Apple","RIM","Nokia","Sony","Samsung","Google","Nintendo","LG","Motorola","Palm","HTC","Other"
2010-04,59.52,26.45,10.43,2.27,0.61,0.22,0.27,0.05,0.06,0.06,0.03,0.02
2010-05,60.48,25.69,9.72,2.31,1.14,0.23,0.29,0.04,0.01,0.05,0.01,0.01
2010-06,56.14,29.47,10,2.58,1.22,0.23,0.26,0.04,0.01,0.03,0.01,0.01
2010-07,53.75,33.4,8.9,2.28,0.98,0.24,0.21,0.11,0.04,0.04,0.02,0.01
2010-08,52.44,35.61,8.25,2.1,0.93,0.24,0.17,0.15,0.04,0.03,0.02,0.01
2010-09,74.26,8.93,11.73,3,1.34,0.25,0.24,0.13,0.05,0.03,0.02,0.01
2010-10,77.7,6.28,10.9,2.99,1.36,0.27,0.24,0.17,0.04,0.03,0.02,0.01
2010-11,77.99,5.84,10.89,2.94,1.61,0.24,0.24,0.14,0.07,0.02,0.01,0.01
2010-12,79.33,4.19,10.68,3.01,2.11,0.24,0.27,0.1,0.04,0.01,0.01,0.01
2010-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,0,0,0,0,0,0,0,0,0,0,0
2010-03,0,0,0,0,0,0,0,0,0,0,0,0
