"Date","Apple","Samsung","HTC","Unknown","Nokia","LG","Sony","Google","Huawei","Alcatel","Motorola","ZTE","Vodafone","RIM","Nintendo","Acer","Xiaomi","HP","Lenovo","Dell","Pantech","Other"
2013-01,65.7,19.18,5.12,2.24,1.97,1.09,1.34,0.95,0.61,0.18,0.56,0.37,0.08,0.14,0.3,0.12,0.01,0,0,0.02,0.01,0.01
2013-02,65.95,19.33,4.85,2.43,1.89,1.04,1.21,0.87,0.61,0.19,0.56,0.4,0.12,0.15,0.22,0.12,0.01,0,0,0.02,0.02,0.01
2013-03,65.48,20.02,4.67,2.27,1.88,1.08,1.22,0.99,0.63,0.19,0.56,0.41,0.11,0.14,0.22,0.06,0.01,0,0.01,0.02,0.02,0.02
2013-04,65.25,20.24,4.56,2.31,1.93,1.1,1.26,0.99,0.59,0.19,0.53,0.43,0.1,0.15,0.23,0.05,0.02,0,0.01,0.01,0.01,0.02
2013-05,64.52,20.7,4.55,2.48,2.12,1.08,1.16,0.96,0.63,0.3,0.52,0.48,0.1,0.17,0.12,0.04,0.02,0,0.01,0.01,0.01,0.03
2013-06,64.39,21.12,4.45,2.47,2.07,1.02,1.13,0.96,0.64,0.35,0.47,0.39,0.1,0.18,0.14,0.04,0.01,0,0.01,0.01,0.01,0.03
2013-07,63.61,21.46,4.5,2.74,2.21,1.01,1.05,0.96,0.67,0.45,0.43,0.35,0.11,0.18,0.15,0.04,0.02,0,0.02,0.01,0.01,0.03
2013-08,63.35,21.73,4.47,2.8,2.23,0.98,0.96,0.97,0.71,0.51,0.4,0.35,0.11,0.2,0.1,0.07,0.02,0,0.01,0.01,0.01,0.03
2013-09,62.78,22.31,4.37,2.85,2.24,1.02,0.87,1.03,0.73,0.53,0.35,0.31,0.11,0.21,0.09,0.09,0.04,0,0.01,0.01,0.01,0.03
2013-10,60.67,22.39,4.14,3.71,2.79,1.05,0.79,0.99,0.91,1.11,0.37,0.37,0.25,0.23,0.09,0.06,0.03,0,0.02,0.01,0.01,0.03
2013-11,58.43,22.4,3.97,3.99,3.8,1.13,0.74,0.89,1.03,1.54,0.49,0.47,0.56,0.25,0.08,0.06,0.03,0.06,0.02,0.01,0.01,0.04
2013-12,57.79,22.6,3.94,4.27,3.76,1.25,0.68,0.83,1.25,1.66,0.4,0.44,0.51,0.24,0.06,0.11,0.04,0.09,0.03,0.01,0.01,0.04
