"Date","Apple","Samsung","Unknown","Huawei","HTC","Sony","Nokia","LG","Google","Motorola","ZTE","Vodafone","Lenovo","Xiaomi","Alcatel","Asus","Oppo","OnePlus","RIM","Micromax","HP","Meizu","BBK","Wiko","Acer","General Mobile","Nintendo","Other"
2016-01,55.2,27.79,4.29,2.44,2.22,2.02,1.46,1.08,0.72,0.51,0.33,0.21,0.22,0.31,0.48,0.16,0.05,0.13,0.13,0.04,0.08,0.05,0.02,0.01,0.02,0,0.01,0.04
2016-02,55.57,27.51,4.37,2.58,2.12,1.94,1.42,1.03,0.71,0.52,0.32,0.22,0.23,0.27,0.46,0.17,0.06,0.12,0.13,0.04,0.07,0.04,0.02,0.01,0.03,0,0.01,0.04
2016-03,54.77,28,4.16,2.96,2.08,2.17,1.2,1.04,0.64,0.5,0.31,0.4,0.26,0.3,0.43,0.22,0.07,0.13,0.11,0.04,0.06,0.03,0.03,0.02,0.03,0,0.01,0.04
2016-04,53.42,28.86,4.36,2.87,2.12,2.22,1.27,1.07,0.71,0.5,0.32,0.43,0.32,0.31,0.38,0.24,0.07,0.14,0.14,0.05,0.06,0.03,0.03,0.02,0.02,0,0.01,0.04
2016-05,55.22,27.29,4.48,2.88,2.04,2.1,1.22,1.03,0.68,0.51,0.32,0.45,0.36,0.29,0.29,0.21,0.06,0.13,0.15,0.06,0.06,0.04,0.02,0.02,0.01,0.01,0.02,0.04
2016-06,56.34,27.22,4.11,2.67,1.99,2.02,0.98,1.04,0.66,0.51,0.36,0.43,0.38,0.29,0.21,0.2,0.05,0.14,0.11,0.06,0.05,0.04,0.02,0.02,0.01,0.01,0.01,0.05
2016-07,54.98,27.71,4.38,3.03,2.02,1.99,0.94,1.04,0.65,0.53,0.43,0.45,0.52,0.31,0.23,0.21,0.05,0.13,0.1,0.08,0.05,0.04,0.02,0.02,0.01,0.03,0.01,0.05
2016-08,54.76,27.51,4.54,3.28,1.96,1.89,0.9,1.09,0.67,0.52,0.51,0.43,0.57,0.32,0.18,0.2,0.05,0.13,0.1,0.12,0.05,0.04,0.02,0.02,0.01,0.06,0.01,0.07
2016-09,54.31,26.8,5.6,3.32,1.99,1.82,0.82,1.02,0.64,0.59,0.61,0.39,0.66,0.31,0.18,0.22,0.06,0.13,0.08,0.19,0.04,0.04,0.02,0.02,0.01,0.05,0.01,0.08
2016-10,53.87,26.22,7.12,3.49,1.83,1.66,1.11,0.82,0.64,0.51,0.65,0.35,0.39,0.29,0.17,0.17,0.2,0.12,0.07,0.09,0.04,0.07,0.03,0.03,0.01,0,0.01,0.05
2016-11,53.6,27.68,5.1,3.68,1.67,1.66,1.04,0.78,0.76,0.5,0.66,0.45,0.4,0.44,0.28,0.18,0.51,0.15,0.07,0.1,0.03,0.06,0.05,0.04,0.01,0,0.01,0.09
2016-12,52.73,28.08,4.49,4.08,1.62,1.74,0.96,0.78,0.84,0.51,0.77,0.51,0.41,0.47,0.41,0.2,0.7,0.18,0.06,0.09,0.03,0.06,0.06,0.02,0.01,0,0.01,0.15
