"Date","Samsung","Motorola","Apple","Huawei","LG","Xiaomi","Unknown","Asus","Alcatel","Sony","Lenovo","Nokia","ZTE","Blu","HTC","OnePlus","Google","Mobicel","Positivo","RIM","BGH","Lanix","Xolo","Caterpillar","Quantum","Multilaser","Oppo","Avvio","Bmobile","Meizu","Infinix","Neffos","Philips","LeEco","BBK","Wiko","CAT","Other"
2019-01,45.25,18.19,11.62,8.09,8.06,1.64,2.48,0.31,0.61,0.53,1.03,0.74,0.39,0.23,0.15,0.08,0.07,0.06,0.03,0.07,0.03,0.02,0.01,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0,0,0.01,0,0.11
2019-02,45.49,18.29,11.49,8.04,7.95,1.77,2.53,0.28,0.57,0.49,1.01,0.74,0.37,0.2,0.15,0.08,0.08,0.06,0.03,0.05,0.03,0.02,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0,0.1
2019-03,46.82,17.09,10.55,7.77,7.28,2.01,1.95,1.14,0.99,1.05,0.87,0.81,0.38,0.29,0.12,0.1,0.07,0.06,0.06,0.04,0.05,0.05,0.04,0.04,0.03,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0,0.15
2019-04,47.22,17.22,10.11,7.75,7.25,2,1.92,1.13,1.01,1,0.84,0.8,0.39,0.28,0.12,0.1,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0,0.16
2019-05,46.95,17.18,10.08,8.09,7.11,2.12,2.01,1.08,1.02,0.97,0.81,0.81,0.43,0.3,0.12,0.1,0.07,0.07,0.05,0.04,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.16
2019-06,46.99,17.33,10.13,7.88,7.04,2.28,2.25,1.06,0.97,0.93,0.76,0.76,0.4,0.25,0.11,0.1,0.06,0.06,0.05,0.04,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.13
2019-07,46.86,17.04,10.26,8.01,6.77,2.33,2.52,1.09,0.94,0.91,0.76,0.78,0.45,0.27,0.11,0.09,0.07,0.06,0.05,0.04,0.04,0.05,0.04,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.03,0.13
2019-08,45.82,17.39,11.02,7.76,6.76,3.02,2.28,1.1,0.93,0.88,0.72,0.78,0.38,0.21,0.11,0.1,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.12
2019-09,46.79,16.8,10.49,9.07,6.34,3.33,1.67,1.1,0.85,0.78,0.66,0.67,0.35,0.2,0.11,0.1,0.07,0.06,0.05,0.04,0.03,0.04,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.12
2019-10,47.66,16.95,9.38,8.97,5.97,3.86,1.96,1.11,0.8,0.72,0.6,0.64,0.32,0.18,0.1,0.1,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.13
2019-11,47.14,16.69,10.02,9.43,5.85,3.98,1.76,1.06,0.78,0.7,0.58,0.62,0.33,0.17,0.1,0.1,0.07,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0,0.15
2019-12,46.93,17.62,9.83,9.3,5.64,4.44,1.4,1.09,0.7,0.67,0.52,0.6,0.32,0.15,0.09,0.11,0.07,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.11
