"Date","Samsung","Apple","Unknown","Nokia","LG","Huawei","Sony","Lenovo","Micromax","Motorola","HTC","Xiaomi","Asus","General Mobile","RIM","Oppo","Google","ZTE","Alcatel","BBK","Vodafone","Turkcell","Casper","OnePlus","Coolpad","Gionee","Wiko","Spice","AIS","bq","Meizu","Lava","Hisense","Vestel","Lyf","Reliance Digital","Acer","LeEco","Archos","Kyocera","Avea","HP","Infinix","True","Panasonic","Turk Telecom","InFocus","White Label","Lanix","Tecno","i-Mobile","Pantech","Yu","Orange","Other"
2016-01,30.56,19.58,15.58,7.43,4.28,2.59,3.07,2,2.57,2.18,2.17,0.75,0.85,1.16,1.04,0.47,0.71,0.48,0.47,0.15,0.14,0.2,0.13,0.09,0.09,0.05,0.07,0.16,0.09,0.11,0.09,0.07,0.16,0.07,0,0,0.06,0,0.04,0.05,0.05,0.05,0,0,0,0,0.02,0.01,0.02,0,0,0.02,0,0.01,0.09
2016-02,30.63,19.47,15.96,7.26,4.1,2.73,3.01,2.15,2.63,2.09,2.18,0.82,0.88,1.05,1.05,0.48,0.57,0.46,0.45,0.16,0.16,0.19,0.12,0.09,0.09,0.05,0.07,0.16,0.08,0.1,0.09,0.06,0.16,0.07,0,0,0.05,0,0.04,0.05,0.04,0.04,0,0,0,0,0.02,0.01,0.01,0,0,0.02,0,0.01,0.09
2016-03,32.65,18.82,14.27,6.66,4.1,2.94,3.13,2.17,2.46,2.05,2.11,1.01,1.14,1.13,0.98,0.58,0.54,0.47,0.46,0.17,0.26,0.25,0.16,0.12,0.1,0.06,0.09,0.15,0.08,0.11,0.1,0.06,0.15,0.08,0,0,0.05,0,0.04,0.04,0.04,0.04,0,0,0,0.02,0.02,0.01,0.01,0,0,0.01,0,0.01,0.08
2016-04,32.34,18.8,14.73,6.47,4.1,3.12,3.07,2.25,2.35,2.09,2.07,1.06,1.15,1.01,1.02,0.57,0.55,0.48,0.45,0.19,0.26,0.23,0.14,0.13,0.11,0.07,0.1,0.14,0.06,0.12,0.12,0.05,0.14,0.07,0,0,0.05,0,0.04,0.04,0.04,0.04,0,0,0,0.02,0.02,0.02,0.01,0,0,0.01,0,0.01,0.08
2016-05,32.17,18.63,15.49,6.23,3.98,3.25,2.98,2.34,2.46,2.13,2.01,1.05,1.13,0.89,0.99,0.54,0.62,0.46,0.43,0.18,0.25,0.21,0.13,0.13,0.1,0.07,0.1,0.14,0.06,0.12,0.11,0.05,0.14,0.06,0,0,0.05,0,0.04,0.03,0.04,0.04,0,0,0,0.02,0.01,0.02,0.01,0,0,0.01,0,0.01,0.07
2016-06,32.49,20.33,14.5,5.42,4.3,3.56,2.95,2.18,2.01,2.11,2.03,0.99,1.03,0.91,0.88,0.48,0.73,0.48,0.44,0.19,0.25,0.21,0.14,0.14,0.1,0.06,0.11,0.12,0.07,0.11,0.12,0.04,0.09,0.07,0,0,0.05,0,0.04,0.03,0.03,0.03,0,0,0,0.02,0.01,0.02,0.01,0,0,0.01,0,0.01,0.08
2016-07,32.19,19.89,15.36,5.36,4.23,3.74,2.77,2.24,1.96,2.2,2,1.02,0.99,0.87,0.8,0.47,0.88,0.48,0.42,0.21,0.24,0.2,0.13,0.14,0.11,0.07,0.11,0.11,0.06,0.11,0.13,0.03,0.07,0.07,0,0,0.05,0,0.04,0.03,0.03,0.03,0,0,0,0.02,0.01,0.03,0.01,0,0,0.01,0,0.01,0.08
2016-08,32.17,20.07,15.96,5.09,4.32,3.87,2.66,2.24,1.95,2.23,1.98,0.94,0.95,0.9,0.68,0.41,0.68,0.47,0.4,0.18,0.22,0.2,0.13,0.13,0.1,0.07,0.11,0.1,0.07,0.12,0.12,0.03,0.06,0.07,0,0,0.05,0,0.04,0.03,0.03,0.03,0,0,0,0.03,0.01,0.02,0.01,0,0,0.01,0,0.01,0.07
2016-09,32.33,19.38,17.1,4.78,4.18,3.83,2.56,2.47,2.14,2.26,1.99,0.92,0.96,0.9,0.64,0.38,0.38,0.46,0.37,0.15,0.21,0.2,0.13,0.13,0.08,0.1,0.11,0.11,0.08,0.11,0.11,0.04,0.05,0.07,0,0,0.04,0,0.04,0.03,0.03,0.03,0,0,0,0.03,0.01,0.02,0.01,0,0,0.01,0,0.01,0.06
2016-10,32.7,19.12,16.06,4.38,4.04,3.69,2.39,2.82,2.1,2.36,1.91,1.35,1.04,0.94,0.6,0.72,0.37,0.49,0.35,0.3,0.22,0.21,0.16,0.15,0.13,0.15,0.13,0.1,0.09,0.11,0.1,0.03,0.04,0.1,0.05,0.11,0.04,0.08,0.04,0.02,0.03,0.03,0.01,0,0,0.03,0.01,0.01,0.01,0,0,0.01,0,0.01,0.08
2016-11,34.09,18.85,11.81,3.84,4.06,3.63,2.37,2.82,1.97,2.28,1.79,1.87,1.14,1.04,0.56,1.36,0.39,0.58,0.44,0.91,0.38,0.25,0.2,0.17,0.23,0.3,0.22,0.09,0.24,0.12,0.1,0.19,0.03,0.16,0.31,0.24,0.06,0.18,0.03,0.04,0.03,0.02,0.07,0.08,0.07,0.03,0.02,0.01,0.01,0.02,0.05,0.01,0.05,0.01,0.18
2016-12,33.63,18.89,10.31,3.57,3.89,3.68,2.39,2.91,2.03,2.19,1.74,2.11,1.17,0.97,0.46,1.63,0.39,0.62,0.56,1.1,0.4,0.24,0.2,0.19,0.26,0.41,0.23,0.08,0.35,0.12,0.11,0.41,0.04,0.16,0.46,0.25,0.08,0.2,0.03,0.05,0.03,0.02,0.22,0.17,0.17,0.03,0.06,0.01,0.02,0.14,0.08,0.01,0.07,0.01,0.43
