"Date","Samsung","Huawei","Apple","Unknown","Tecno","Infinix","Nokia","Oppo","Itel","Lenovo","Xiaomi","LG","Sony","Condor","HTC","Vodafone","Hisense","Alcatel","Motorola","Wiko","Gionee","ZTE","RIM","Google","Mobicel","MobiWire","BBK","Asus","OnePlus","Blu","Meizu","Xolo","Lava","Realme","White Label","Caterpillar","Coolpad","Orange","Opp","MTN","Archos","bq","Infinex","QMobile","FNB","Leagoo","BlackBerry","LeEco","Acer","CAT","Mint","Vivo","Sharp","Micromax","K-Touch","Other"
2019-01,35.16,12.49,9.35,11.05,6.61,4.22,2.85,2.37,2.05,2.14,1.21,1.56,1.2,1.22,1.24,1,0.45,0.56,0.38,0.37,0.28,0.25,0.35,0.1,0.15,0.15,0.13,0.1,0.08,0.11,0.06,0.06,0.06,0,0.06,0.03,0.06,0.05,0,0.04,0.06,0.03,0,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.15
2019-02,35.16,12.57,9.77,11.3,6.54,4.07,2.93,2.39,2.01,1.92,1.25,1.48,1.15,0.9,1.23,1.03,0.47,0.54,0.36,0.33,0.28,0.25,0.34,0.23,0.16,0.15,0.13,0.09,0.08,0.1,0.05,0.06,0.06,0,0.06,0.03,0.07,0.05,0,0.03,0.05,0.03,0,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.14
2019-03,33.52,12.36,8.57,10.4,8.68,5.79,2.85,2.12,2.35,1.49,1.21,1.41,1.38,1.05,1.07,1.04,0.58,0.58,0.36,0.39,0.38,0.25,0.3,0.08,0.17,0.15,0.17,0.12,0.1,0.1,0.07,0.08,0.08,0,0.07,0.08,0.06,0.06,0,0.03,0.04,0.04,0,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.16
2019-04,33.63,12.51,9.92,10.34,8.11,5.31,2.84,2.07,2.18,1.38,1.21,1.43,1.34,1.14,1,1.05,0.58,0.54,0.37,0.39,0.32,0.22,0.27,0.09,0.17,0.17,0.14,0.12,0.1,0.1,0.08,0.08,0.07,0,0.07,0.08,0.05,0.05,0,0.03,0.04,0.04,0,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.16
2019-05,33.03,12.65,10.71,10.73,8.72,5.19,2.73,1.9,2.17,1.41,1.17,1.32,1.24,0.72,0.95,0.97,0.56,0.51,0.37,0.34,0.29,0.21,0.24,0.12,0.16,0.17,0.13,0.11,0.11,0.09,0.07,0.08,0.06,0,0.07,0.07,0.05,0.06,0,0.03,0.04,0.03,0,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.17
2019-06,32.74,13.77,13.23,10.07,6.85,4.74,2.4,2.18,1.85,1.49,1.24,1.36,1.15,1.14,0.87,0.8,0.46,0.49,0.41,0.34,0.26,0.2,0.21,0.17,0.15,0.13,0.13,0.1,0.1,0.07,0.08,0.08,0.06,0,0.06,0.06,0.04,0.05,0,0.03,0.03,0.03,0,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.16
2019-07,33.23,14.97,15.85,9.12,5.87,4.01,2.22,1.86,1.66,1.57,1.07,1.38,0.93,0.9,0.84,0.68,0.43,0.45,0.45,0.27,0.23,0.2,0.19,0.26,0.13,0.12,0.12,0.1,0.1,0.06,0.06,0.06,0.05,0,0.05,0.06,0.04,0.04,0,0.02,0.03,0.03,0,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.12
2019-08,35.07,14.24,15.52,8.25,6.01,3.92,2.15,1.83,1.89,1.35,1.16,1.51,0.82,0.88,0.85,0.67,0.41,0.43,0.5,0.27,0.24,0.2,0.16,0.24,0.13,0.12,0.12,0.09,0.11,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.06,0.02,0.02,0.03,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12
2019-09,33.38,15.59,13.4,8.76,6.42,4.74,2.23,2.46,1.96,1.24,1.45,1.24,0.88,0.86,0.81,0.68,0.43,0.39,0.39,0.28,0.25,0.19,0.13,0.17,0.15,0.12,0.14,0.1,0.1,0.07,0.06,0.06,0.06,0.1,0.06,0.05,0.04,0.03,0.15,0.03,0.03,0.03,0,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.13
2019-10,34.32,15.81,8.84,9.7,7.1,5.32,2.39,2.94,2.05,1.01,1.75,1.12,1.16,0.92,0.74,0.71,0.43,0.35,0.34,0.31,0.27,0.18,0.13,0.1,0.17,0.13,0.16,0.11,0.12,0.06,0.07,0.06,0.07,0.15,0.06,0.05,0.04,0.03,0.2,0.11,0.03,0.04,0,0.03,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.15
2019-11,32.4,17.38,12.52,8.59,6.97,4.84,2.26,2.58,1.81,1.2,1.58,1.02,0.86,0.78,0.63,0.67,0.41,0.3,0.33,0.26,0.25,0.18,0.12,0.21,0.17,0.12,0.12,0.15,0.12,0.06,0.06,0.06,0.07,0.17,0.05,0.05,0.03,0.02,0.03,0.04,0.03,0.04,0.17,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0,0.13
