"Date","Samsung","Apple","Huawei","Tecno","Infinix","Xiaomi","Oppo","Unknown","Itel","Nokia","Realme","Vivo","LG","Lenovo","Infinex","Sony","Hisense","Motorola","Google","HTC","Condor","Gionee","OnePlus","Vodafone","ZTE","Safaricom","Alcatel","Honor","Wiko","Mobicel","BBK","Sharp","White Label","Asus","Meizu","CAT","Lava","bq","Caterpillar","RIM","MobiWire","LeEco","TCL","Other"
2022-01,32.09,15.53,13.67,8.29,6.27,5.84,4.97,3.44,1.97,1.52,1.18,0.71,0.54,0.78,0.42,0.29,0.21,0.19,0.22,0.26,0.28,0.16,0.14,0.14,0.09,0.14,0.08,0.02,0.08,0.08,0.05,0.03,0.03,0.03,0.02,0.02,0.03,0.01,0.01,0.02,0.02,0.01,0.01,0.12
2022-02,30.85,14.21,13.69,8.15,6.68,6.52,6.51,2.96,1.93,1.43,1.95,0.82,0.44,0.86,0.47,0.25,0.18,0.19,0.24,0.19,0.23,0.14,0.12,0.13,0.08,0.11,0.07,0.02,0.07,0.07,0.05,0.03,0.03,0.03,0.02,0.02,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.13
2022-03,32.16,14.29,13.26,9.38,6.76,5.85,4.79,3.51,2.24,1.64,1.17,0.77,0.5,0.6,0.46,0.27,0.21,0.19,0.18,0.15,0.23,0.14,0.14,0.15,0.1,0.13,0.08,0.03,0.08,0.07,0.05,0.04,0.03,0.03,0.02,0.02,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.16
2022-04,32.42,14.37,12.71,9.58,6.41,5.55,4.51,4.54,2.29,1.76,1.1,0.82,0.49,0.44,0.43,0.29,0.23,0.21,0.15,0.17,0.14,0.16,0.13,0.17,0.1,0.1,0.09,0.03,0.08,0.08,0.06,0.04,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.12
2022-05,33.12,14.03,12.6,8.81,6.14,6.24,5.39,3.89,2.02,1.72,1.47,0.92,0.44,0.37,0.42,0.26,0.2,0.2,0.11,0.26,0.14,0.15,0.14,0.13,0.1,0.09,0.08,0.05,0.07,0.06,0.05,0.04,0.03,0.03,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.1
2022-06,32.89,12.19,13.34,7.1,5.93,7.21,7.72,3.42,1.68,1.57,2.57,1.17,0.39,0.37,0.38,0.25,0.19,0.19,0.11,0.16,0.09,0.11,0.12,0.1,0.08,0.07,0.07,0.07,0.05,0.06,0.05,0.03,0.02,0.03,0.02,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.08
2022-07,34.56,13.87,12.94,8.34,5.71,6.01,4.71,4.41,1.94,1.81,1.25,0.98,0.46,0.28,0.4,0.28,0.22,0.21,0.13,0.1,0.11,0.14,0.14,0.13,0.11,0.09,0.07,0.07,0.06,0.06,0.06,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.09
2022-08,33,13.42,12.03,9.71,6.7,5.84,4.61,5,2.15,1.79,1.24,0.95,0.44,0.27,0.48,0.27,0.2,0.22,0.16,0.1,0.09,0.17,0.13,0.12,0.11,0.09,0.08,0.07,0.07,0.06,0.07,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.1
2022-09,32.73,13.21,11.47,10.31,6.76,5.69,4.3,5.41,2.39,1.84,1.11,0.93,0.41,0.47,0.44,0.27,0.29,0.21,0.18,0.09,0.09,0.16,0.13,0.12,0.11,0.1,0.1,0.1,0.06,0.05,0.07,0.05,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.1
2022-10,32.79,13.31,11.02,11.16,6.79,5.6,4.3,4.58,2.64,1.79,1.1,0.95,0.4,0.28,0.39,0.27,0.39,0.22,0.31,0.09,0.09,0.15,0.14,0.12,0.13,0.11,0.14,0.14,0.07,0.05,0.07,0.05,0.04,0.03,0.04,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.1
2022-11,34.31,14.17,11.32,9.81,6.14,6.05,4.58,3.72,2.33,1.68,1.19,0.98,0.43,0.24,0.34,0.26,0.36,0.24,0.18,0.1,0.1,0.13,0.14,0.11,0.12,0.09,0.14,0.16,0.06,0.04,0.07,0.05,0.04,0.03,0.04,0.05,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.1
2022-12,34.91,14.14,11.49,8.83,5.71,6.52,5.03,3.81,2.08,1.6,1.32,1,0.4,0.22,0.31,0.24,0.34,0.22,0.18,0.07,0.11,0.12,0.15,0.11,0.12,0.09,0.13,0.19,0.06,0.04,0.06,0.05,0.03,0.02,0.04,0.04,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.09
