"Date","Apple","Samsung","Motorola","LG","Google","Xiaomi","Huawei","Unknown","OnePlus","Oppo","ZTE","T-Mobile","Vivo","Nokia","Realme","Lenovo","Alcatel","TCL","Kyocera","Infinix","Sony","Tecno","Sumsung","AT&T","Coolpad","HTC","Asus","Unimax","Cricket","Mixc","Blu","Honor","Boost","Other"
2022-01,55.98,27.06,4.65,2.95,2.14,1.47,1.82,0.95,0.79,0.32,0.28,0.18,0.16,0.15,0.14,0.13,0.15,0.05,0.07,0.04,0.07,0.04,0.05,0.04,0.05,0.03,0.04,0.04,0,0.02,0,0.01,0,0.12
2022-02,53.87,28.34,5.28,3.06,2.22,1.53,1.62,0.91,0.79,0.36,0.29,0.21,0.18,0.19,0.14,0.12,0.14,0.06,0.07,0.06,0.07,0.05,0.06,0.04,0.05,0.04,0.04,0.04,0,0.03,0,0.01,0,0.12
2022-03,54.15,28.47,5.17,2.9,2.23,1.43,1.56,1.01,0.79,0.33,0.27,0.21,0.17,0.2,0.13,0.12,0.13,0.06,0.07,0.05,0.07,0.05,0.06,0.04,0.05,0.03,0.03,0.04,0,0.03,0,0.01,0,0.12
2022-04,54.32,28.32,5.27,2.77,2.32,1.4,1.46,1.14,0.79,0.32,0.25,0.22,0.18,0.18,0.14,0.11,0.12,0.06,0.08,0.05,0.06,0.04,0.06,0.04,0.04,0.03,0.04,0.03,0,0.03,0,0.01,0,0.11
2022-05,54.1,28.47,5.37,2.61,2.31,1.51,1.51,1.06,0.79,0.36,0.25,0.22,0.2,0.19,0.15,0.11,0.12,0.06,0.07,0.06,0.06,0.05,0.05,0.03,0.04,0.03,0.04,0.03,0,0.03,0.01,0.02,0,0.11
2022-06,53.48,29.26,5.42,2.51,2.2,1.53,1.45,1.02,0.8,0.38,0.25,0.23,0.21,0.2,0.16,0.12,0.12,0.07,0.06,0.06,0.06,0.05,0.05,0.03,0.04,0.02,0.03,0.03,0,0.03,0.01,0.02,0,0.12
2022-07,52.41,30.39,5.53,2.47,2.17,1.52,1.4,1.01,0.79,0.38,0.25,0.23,0.19,0.21,0.16,0.12,0.11,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.02,0.03,0.03,0,0.03,0.01,0.02,0,0.11
2022-08,53.88,29.09,5.39,2.3,2.07,1.57,1.5,1.09,0.76,0.39,0.27,0.23,0.19,0.2,0.17,0.13,0.1,0.08,0.06,0.05,0.06,0.05,0.05,0.03,0.04,0.03,0.03,0.02,0,0.03,0.01,0.02,0,0.12
2022-09,52.83,29.94,5.42,2.21,2.14,1.55,1.39,1.05,0.79,0.42,0.26,0.26,0.23,0.21,0.19,0.12,0.09,0.12,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.04,0.03,0.02,0.04,0.03,0.04,0.03,0.02,0.16
2022-10,52.01,30.69,5.54,2.11,2.21,1.49,1.24,0.95,0.83,0.41,0.25,0.31,0.23,0.21,0.19,0.11,0.09,0.17,0.07,0.08,0.05,0.07,0.05,0.06,0.03,0.04,0.03,0.02,0.1,0.02,0.07,0.04,0.05,0.18
2022-11,53.13,29.86,5.59,1.89,2.15,1.53,1.15,0.99,0.83,0.42,0.23,0.3,0.23,0.21,0.19,0.11,0.08,0.17,0.07,0.08,0.05,0.08,0.04,0.06,0.03,0.04,0.02,0.02,0.1,0.02,0.07,0.04,0.05,0.16
2022-12,53.15,29.88,5.39,1.82,2.06,1.67,1.17,1.07,0.83,0.46,0.24,0.27,0.26,0.2,0.22,0.11,0.08,0.18,0.07,0.09,0.05,0.08,0.04,0.05,0.03,0.04,0.02,0.02,0.09,0.02,0.07,0.05,0.05,0.16
