"Date","Apple","Samsung","Huawei","Oppo","Xiaomi","Google","Unknown","Nokia","Sony","OnePlus","Motorola","LG","HTC","Lenovo","ZTE","Mobicel","Alcatel","Vodafone","Asus","BBK","Optus","Meizu","Smartisan","Tecno","RIM","Vivo","Other"
2019-01,56.43,25.67,5.96,2.71,1.4,1.42,1.15,0.52,0.58,0.47,0.66,0.48,0.62,0.42,0.54,0.29,0.23,0.11,0.06,0.06,0.03,0.02,0.01,0.02,0.01,0,0.12
2019-02,56.82,25.12,6.05,2.72,1.48,1.45,1.19,0.54,0.52,0.5,0.62,0.49,0.57,0.43,0.54,0.29,0.23,0.09,0.06,0.06,0.03,0.03,0.02,0.02,0.02,0,0.11
2019-03,54.6,25.13,6.84,3.33,1.54,1.41,1.21,0.66,0.79,0.61,0.61,0.47,0.54,0.4,0.47,0.28,0.33,0.18,0.14,0.09,0.09,0.05,0.03,0.01,0.02,0,0.17
2019-04,53.91,24.86,7.5,3.33,1.55,1.52,1.32,0.69,0.78,0.63,0.59,0.47,0.51,0.42,0.44,0.27,0.43,0.2,0.12,0.08,0.07,0.05,0.03,0.01,0.03,0,0.17
2019-05,55.15,24.03,7.94,3.25,1.54,1.36,1.27,0.73,0.69,0.58,0.56,0.43,0.45,0.39,0.4,0.26,0.29,0.19,0.11,0.08,0.07,0.05,0.03,0.01,0.02,0,0.14
2019-06,54.41,24.41,8.16,3.23,1.58,1.47,1.35,0.78,0.66,0.6,0.53,0.43,0.42,0.41,0.38,0.26,0.24,0.17,0.11,0.07,0.06,0.05,0.03,0.02,0.02,0,0.14
2019-07,53.52,24.82,8.3,3.2,1.58,1.48,1.63,0.75,0.65,0.59,0.54,0.45,0.44,0.46,0.38,0.3,0.23,0.18,0.11,0.07,0.06,0.05,0.03,0.02,0.01,0,0.14
2019-08,53.36,24.15,8.99,3.53,1.83,1.43,1.2,0.79,0.59,0.64,0.54,0.44,0.43,0.46,0.39,0.31,0.21,0.16,0.11,0.07,0.06,0.06,0.04,0.02,0.01,0.03,0.15
2019-09,52.4,23.85,10.92,3.4,1.71,1.4,1.16,0.79,0.56,0.63,0.52,0.42,0.37,0.41,0.34,0.27,0.18,0.16,0.11,0.06,0.05,0.04,0.04,0.02,0.01,0.03,0.14
2019-10,49.34,27,10.46,3.36,1.58,1.54,1.62,0.69,0.56,0.67,0.51,0.41,0.34,0.41,0.32,0.25,0.2,0.16,0.17,0.06,0.05,0.04,0.03,0.02,0.01,0.04,0.15
2019-11,51.09,25.82,10.48,3.34,1.57,1.58,1.39,0.62,0.5,0.64,0.49,0.39,0.3,0.38,0.27,0.26,0.18,0.15,0.12,0.05,0.04,0.04,0.03,0.02,0.01,0.04,0.18
2019-12,51.48,25.66,10.4,3.4,1.59,1.63,1.09,0.65,0.51,0.65,0.49,0.4,0.32,0.36,0.26,0.28,0.13,0.15,0.11,0.06,0.04,0.04,0.03,0.03,0.01,0.04,0.19
