"Date","Samsung","Nokia","Apple","LG","Unknown","Motorola","Sony","RIM","Huawei","HTC","Alcatel","ZTE","Google","Nintendo","Acer","HP","Other"
2013-01,31.46,19.62,14.16,8.05,9.44,6.41,5.06,3.35,0.7,0.52,0.32,0.38,0.17,0.15,0.17,0,0.06
2013-02,31.39,18.94,14.85,8.12,9,6.53,5.02,3.61,0.72,0.54,0.35,0.37,0.17,0.15,0.2,0,0.05
2013-03,31.64,18.72,14.89,8.47,9.08,6.53,4.95,3.33,0.72,0.52,0.33,0.34,0.19,0.15,0.1,0,0.05
2013-04,31.79,19.44,14.66,8.88,9.32,6.15,4.56,2.94,0.75,0.46,0.3,0.32,0.18,0.15,0.06,0,0.04
2013-05,32.41,19.03,14.65,9.19,9.27,5.92,4.47,2.84,0.77,0.46,0.3,0.3,0.19,0.1,0.06,0,0.04
2013-06,33.18,18.32,15.07,9.3,8.98,5.63,4.47,2.76,0.8,0.47,0.34,0.3,0.2,0.09,0.05,0,0.04
2013-07,33.65,18.31,14.78,9.34,9.23,5.26,4.27,2.72,0.89,0.48,0.4,0.29,0.21,0.09,0.05,0,0.04
2013-08,34.49,17.87,14.58,9.92,9.41,4.84,3.86,2.57,0.9,0.49,0.41,0.27,0.23,0.06,0.04,0,0.04
2013-09,34.94,17.07,14.6,10.45,10.1,4.47,3.54,2.39,0.92,0.49,0.4,0.24,0.26,0.05,0.04,0,0.04
2013-10,33.67,15.96,11.64,11.42,15.47,3.79,3.13,2.49,0.99,0.42,0.46,0.23,0.23,0.03,0.03,0,0.04
2013-11,36.85,16.05,14.24,11.72,9.02,4.01,3.06,2.4,0.99,0.46,0.42,0.29,0.3,0.03,0.03,0.09,0.05
2013-12,37.53,16.39,12.97,12.01,9.16,3.81,2.93,2.27,1.14,0.47,0.43,0.3,0.33,0.03,0.03,0.15,0.05
