"Date","Samsung","Motorola","LG","Apple","Unknown","Huawei","Nokia","Sony","Alcatel","Lenovo","RIM","ZTE","Asus","Google","HTC","Lanix","HP","Entel","Micromax","Archos","Blu","Xiaomi","Acer","OnePlus","CCE","BGH","Oppo","Other"
2016-01,33.16,16.82,11.13,10.23,8.74,4.06,6.56,3.73,1.21,0.37,0.89,0.51,0.46,1.22,0.33,0.08,0.11,0.1,0.07,0.05,0,0.03,0.02,0.02,0.03,0,0.02,0.07
2016-02,33.55,16.32,11.05,9.99,8.49,4.59,7.09,3.59,1.24,0.43,0.94,0.52,0.42,0.8,0.36,0.08,0.11,0.09,0.06,0.04,0,0.04,0.02,0.02,0.02,0,0.03,0.08
2016-03,36.59,15.9,10.45,9.93,6.88,4.7,6.44,3.71,1.43,0.44,0.81,0.5,0.47,0.81,0.32,0.08,0.1,0.09,0.06,0.04,0,0.07,0.02,0.01,0.02,0,0.05,0.07
2016-04,37.3,15.78,10.3,9.86,6.9,5.08,5.98,3.63,1.44,0.48,0.77,0.53,0.45,0.66,0.31,0.08,0.09,0.09,0.06,0.05,0,0.04,0.02,0.02,0.02,0,0.01,0.07
2016-05,37.61,15.8,10.22,10.42,7.1,4.92,5.42,3.45,1.35,0.5,0.68,0.54,0.55,0.63,0.3,0.08,0.07,0.08,0.06,0.06,0,0.03,0.02,0.02,0.02,0,0.01,0.06
2016-06,37.55,15.22,10.18,9.71,7.45,5.74,5.5,3.31,1.41,0.61,0.74,0.68,0.46,0.6,0.34,0.08,0.08,0.08,0.09,0.06,0,0.03,0.02,0.02,0.02,0,0,0.07
2016-07,37.94,15.64,10.29,9.51,7.54,5.97,4.95,3.16,1.38,0.71,0.67,0.71,0.46,0.22,0.34,0.07,0.08,0.07,0.09,0.06,0,0.02,0.02,0.02,0.01,0,0,0.07
2016-08,38.22,16.08,10.58,8.96,7.39,6.13,4.5,3.01,1.39,0.81,0.6,0.66,0.48,0.39,0.32,0.07,0.07,0.07,0.08,0.06,0,0.02,0.01,0.01,0.01,0,0,0.07
2016-09,38.36,15.74,10.78,8.72,8,6.43,4.22,2.87,1.38,0.91,0.57,0.62,0.51,0.15,0.32,0.07,0.06,0.06,0.06,0.06,0,0.02,0.01,0.01,0.01,0,0,0.06
2016-10,39.56,16.08,10.86,8.3,7.33,6.46,3.79,2.73,1.33,1.02,0.49,0.61,0.52,0.15,0.33,0.06,0.05,0.06,0.05,0.06,0,0.03,0.01,0.01,0.01,0,0,0.07
2016-11,42.1,15.58,10.43,8.09,5.69,6.45,3.34,2.72,1.77,1.06,0.43,0.65,0.51,0.18,0.31,0.07,0.05,0.05,0.04,0.06,0.15,0.06,0.03,0.02,0.01,0.03,0,0.11
2016-12,42.17,14.67,9.9,9.63,4.97,6.41,3.04,2.93,1.95,1.1,0.33,0.77,0.56,0.14,0.29,0.08,0.04,0.04,0.04,0.05,0.36,0.07,0.04,0.03,0.01,0.12,0,0.25
