"Date","Samsung","Apple","Nokia","Unknown","RIM","HTC","LG","Sony","Motorola","Micromax","Huawei","Google","ZTE","Pantech","Alcatel","Lenovo","Nintendo","Kyocera","Turkcell","Acer","Vodafone","Spice","Xiaomi","Hisense","Casio","Dell","Coolpad","Archos","Fujitsu","T-Mobile","K-Touch","Other"
2013-01,22.69,25.86,22.15,10.95,3.48,3.69,2.79,2.78,1.81,0.57,0.85,0.46,0.48,0.43,0.13,0.14,0.19,0.1,0.09,0.13,0.05,0,0.05,0,0.04,0.02,0,0.01,0.02,0.02,0,0.04
2013-02,23.04,27.22,21.28,10.7,3.42,3.45,2.84,2.77,1.75,0.6,0.78,0.44,0.42,0.37,0.14,0.06,0.19,0.1,0.09,0.13,0.05,0,0.03,0,0.04,0.02,0,0.01,0.02,0.01,0.01,0.04
2013-03,24.32,27.16,21.15,9.63,3.39,3.37,2.7,2.86,1.81,0.63,0.8,0.5,0.45,0.27,0.15,0.07,0.21,0.11,0.08,0.09,0.05,0,0.04,0.02,0.04,0.02,0,0.01,0.01,0.01,0.01,0.04
2013-04,25,26.48,20.91,10.06,3.4,3.19,2.76,2.82,1.71,0.7,0.78,0.51,0.44,0.27,0.16,0.08,0.2,0.11,0.11,0.07,0.05,0,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.03
2013-05,25.39,25.87,21.17,10.05,3.63,3.03,2.77,2.75,1.58,0.83,0.77,0.51,0.43,0.27,0.18,0.1,0.14,0.1,0.1,0.07,0.05,0,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03
2013-06,25.47,25.09,21.96,10.33,3.62,2.93,2.59,2.65,1.45,0.99,0.78,0.49,0.42,0.21,0.21,0.13,0.14,0.11,0.09,0.06,0.05,0,0.04,0.04,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.03
2013-07,25.19,24.74,21.75,11.09,3.67,2.85,2.74,2.45,1.4,1.14,0.79,0.5,0.42,0.26,0.24,0.14,0.13,0.11,0.07,0.07,0.05,0,0.03,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.04
2013-08,25.69,23.39,21.66,12.1,3.75,2.73,2.78,2.34,1.22,1.3,0.81,0.49,0.42,0.25,0.25,0.2,0.09,0.1,0.07,0.07,0.05,0,0.04,0.05,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.04
2013-09,26.16,22.68,21.61,12.89,3.75,2.6,2.78,2.21,1.11,1.34,0.79,0.46,0.37,0.24,0.25,0.21,0.07,0.09,0.07,0.07,0.06,0,0.03,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.03
2013-10,25.54,20.5,22.31,15.22,3.81,2.39,2.84,2.15,0.98,1.34,0.82,0.42,0.36,0.21,0.31,0.28,0.05,0.09,0.07,0.06,0.07,0,0.03,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02
2013-11,27.11,21.9,21.01,12.87,3.91,2.41,2.84,2.05,1.01,1.6,0.85,0.43,0.38,0.17,0.33,0.27,0.05,0.09,0.08,0.07,0.08,0.23,0.05,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05
2013-12,27.48,21.79,20.18,13.62,3.71,2.33,2.81,1.88,0.95,1.79,0.9,0.41,0.39,0.15,0.35,0.33,0.04,0.1,0.09,0.07,0.08,0.3,0.06,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.07
